,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
397448,-543862,000035.SZ,19940411,CNY,10.25,10.0,10.1,9.4,9.4,-0.85,-8.2927,20972.0,20645.0,10.25,10.0,10.1,9.4,9.4,1.0,9.8441,??,2016-12-27 10:25:34,0
397449,-543863,000035.SZ,19940412,CNY,9.4,9.2,10.1,9.1,9.85,0.45,4.7872,28341.0,27201.0,9.4,9.2,10.1,9.1,9.85,1.0,9.5978,??,2016-12-27 10:25:34,0
397450,-543864,000035.SZ,19940413,CNY,9.85,10.1,10.25,9.55,9.6,-0.25,-2.5381,22754.0,22630.0,9.85,10.1,10.25,9.55,9.6,1.0,9.9455,??,2016-12-27 10:25:34,0
397451,-543865,000035.SZ,19940414,CNY,9.6,9.5,9.7,9.3,9.3,-0.3,-3.125,13192.0,12495.0,9.6,9.5,9.7,9.3,9.3,1.0,9.4716,??,2016-12-27 10:25:34,0
397452,-543866,000035.SZ,19940415,CNY,9.3,9.3,10.0,8.85,10.0,0.7,7.5269,25474.0,23949.0,9.3,9.3,10.0,8.85,10.0,1.0,9.4014,??,2016-12-27 10:25:34,0
397453,-543867,000035.SZ,19940418,CNY,10.0,10.0,10.0,9.25,9.3,-0.7,-7.0,22750.0,22028.0,10.0,10.0,10.0,9.25,9.3,1.0,9.6826,??,2016-12-27 10:25:34,0
397454,-543868,000035.SZ,19940419,CNY,9.3,9.15,9.4,8.8,8.8,-0.5,-5.3763,12500.0,11361.0,9.3,9.15,9.4,8.8,8.8,1.0,9.0888,??,2016-12-27 10:25:34,0
397455,-543869,000035.SZ,19940420,CNY,8.8,8.65,9.0,8.2,8.35,-0.45,-5.1136,18742.0,16168.0,8.8,8.65,9.0,8.2,8.35,1.0,8.6266,??,2016-12-27 10:25:34,0
397457,-543870,000035.SZ,19940421,CNY,8.35,8.45,9.1,8.4,9.0,0.65,7.7844,24396.0,21441.0,8.35,8.45,9.1,8.4,9.0,1.0,8.7887,??,2016-12-27 10:25:34,0
397458,-543871,000035.SZ,19940422,CNY,9.0,9.0,9.1,8.4,8.5,-0.5,-5.5556,17258.0,15123.0,9.0,9.0,9.1,8.4,8.5,1.0,8.7629,??,2016-12-27 10:25:34,0
397459,-543872,000035.SZ,19940425,CNY,8.5,8.4,8.7,8.3,8.65,0.15,1.7647,4701.0,4007.0,8.5,8.4,8.7,8.3,8.65,1.0,8.5237,??,2016-12-27 10:25:34,0
397460,-543873,000035.SZ,19940426,CNY,8.65,8.75,8.95,8.6,8.9,0.25,2.8902,6817.0,5994.0,8.65,8.75,8.95,8.6,8.9,1.0,8.7927,??,2016-12-27 10:25:34,0
397461,-543874,000035.SZ,19940427,CNY,8.9,9.0,9.28,8.9,9.28,0.38,4.2697,14142.0,12876.0,8.9,9.0,9.28,8.9,9.28,1.0,9.1048,??,2016-12-27 10:25:34,0
397462,-543875,000035.SZ,19940428,CNY,9.28,9.35,9.41,8.69,8.7,-0.58,-6.25,20763.0,18861.0,9.28,9.35,9.41,8.69,8.7,1.0,9.0839,??,2016-12-27 10:25:34,0
397463,-543876,000035.SZ,19940429,CNY,8.7,8.6,8.8,8.28,8.79,0.09,1.0345,9782.0,8356.0,8.7,8.6,8.8,8.28,8.79,1.0,8.5422,??,2016-12-27 10:25:34,0
397464,-543877,000035.SZ,19940503,CNY,8.79,8.86,9.08,8.5,9.0,0.21,2.3891,10804.0,9458.0,8.79,8.86,9.08,8.5,9.0,1.0,8.7542,??,2016-12-27 10:25:34,0
397465,-543878,000035.SZ,19940504,CNY,9.0,9.2,9.25,8.5,8.62,-0.38,-4.2222,11107.0,9927.0,9.0,9.2,9.25,8.5,8.62,1.0,8.9376,??,2016-12-27 10:25:34,0
397466,-543879,000035.SZ,19940505,CNY,8.62,8.3,8.3,7.93,8.05,-0.57,-6.6125,3492.0,2840.0,8.62,8.3,8.3,7.93,8.05,1.0,8.1329,??,2016-12-27 10:25:34,0
397468,-543880,000035.SZ,19940506,CNY,8.05,8.1,8.2,7.81,7.95,-0.1,-1.2422,4158.0,3314.0,8.05,8.1,8.2,7.81,7.95,1.0,7.9702,??,2016-12-27 10:25:34,0
397469,-543881,000035.SZ,19940509,CNY,7.95,7.9,8.2,7.9,8.19,0.24,3.0189,4660.0,3744.0,7.95,7.9,8.2,7.9,8.19,1.0,8.0343,??,2016-12-27 10:25:34,0
397470,-543882,000035.SZ,19940510,CNY,8.19,8.4,8.57,8.1,8.55,0.36,4.3956,8247.0,6864.0,8.19,8.4,8.57,8.1,8.55,1.0,8.323,??,2016-12-27 10:25:34,0
397471,-543883,000035.SZ,19940511,CNY,8.55,8.7,9.09,8.45,8.45,-0.1,-1.1696,15026.0,13197.0,8.55,8.7,9.09,8.45,8.45,1.0,8.7828,??,2016-12-27 10:25:34,0
397472,-543884,000035.SZ,19940512,CNY,8.45,8.2,8.38,8.03,8.03,-0.42,-4.9704,4395.0,3619.0,8.45,8.2,8.38,8.03,8.03,1.0,8.2344,??,2016-12-27 10:25:34,0
397473,-543885,000035.SZ,19940513,CNY,8.03,8.03,8.7,8.03,8.7,0.67,8.3437,5263.0,4383.0,8.03,8.03,8.7,8.03,8.7,1.0,8.3279,??,2016-12-27 10:25:34,0
397474,-543886,000035.SZ,19940516,CNY,8.7,8.9,9.0,8.63,8.8,0.1,1.1494,12371.0,10881.0,8.7,8.9,9.0,8.63,8.8,1.0,8.7956,??,2016-12-27 10:25:34,0
397475,-543887,000035.SZ,19940517,CNY,8.8,8.8,8.8,8.35,8.41,-0.39,-4.4318,2442.0,2093.0,8.8,8.8,8.8,8.35,8.41,1.0,8.5708,??,2016-12-27 10:25:34,0
397476,-543888,000035.SZ,19940518,CNY,8.41,8.43,8.45,8.1,8.28,-0.13,-1.5458,3498.0,2911.0,8.41,8.43,8.45,8.1,8.28,1.0,8.3219,??,2016-12-27 10:25:34,0
397477,-543889,000035.SZ,19940519,CNY,8.28,8.2,8.5,8.12,8.45,0.17,2.0531,2516.0,2100.0,8.28,8.2,8.5,8.12,8.45,1.0,8.3466,??,2016-12-27 10:25:34,0
397479,-543890,000035.SZ,19940520,CNY,8.45,8.45,8.45,8.2,8.21,-0.24,-2.8402,2581.0,2162.0,8.45,8.45,8.45,8.2,8.21,1.0,8.3766,??,2016-12-27 10:25:34,0
397480,-543891,000035.SZ,19940523,CNY,8.21,8.21,8.3,8.1,8.16,-0.05,-0.609,1126.0,920.0,8.21,8.21,8.3,8.1,8.16,1.0,8.1705,??,2016-12-27 10:25:34,0
397481,-543892,000035.SZ,19940524,CNY,8.16,8.12,8.4,8.12,8.21,0.05,0.6127,851.0,700.0,8.16,8.12,8.4,8.12,8.21,1.0,8.2256,??,2016-12-27 10:25:34,0
397482,-543893,000035.SZ,19940525,CNY,8.21,8.23,8.23,8.1,8.1,-0.11,-1.3398,858.0,696.0,8.21,8.23,8.23,8.1,8.1,1.0,8.1119,??,2016-12-27 10:25:34,0
397483,-543894,000035.SZ,19940526,CNY,8.1,8.05,8.05,7.9,7.95,-0.15,-1.8519,1691.0,1346.0,8.1,8.05,8.05,7.9,7.95,1.0,7.9598,??,2016-12-27 10:25:34,0
397484,-543895,000035.SZ,19940527,CNY,7.95,7.95,8.0,7.81,7.82,-0.13,-1.6352,1538.0,1219.0,7.95,7.95,8.0,7.81,7.82,1.0,7.9259,??,2016-12-27 10:25:34,0
397485,-543896,000035.SZ,19940530,CNY,7.82,7.75,7.75,7.21,7.22,-0.6,-7.6726,1524.0,1133.0,7.82,7.75,7.75,7.21,7.22,1.0,7.4344,??,2016-12-27 10:25:34,0
397486,-543897,000035.SZ,19940531,CNY,7.22,7.22,7.4,7.16,7.3,0.08,1.108,1664.0,1212.0,7.22,7.22,7.4,7.16,7.3,1.0,7.2837,??,2016-12-27 10:25:34,0
397487,-543898,000035.SZ,19940601,CNY,7.3,6.62,6.8,6.35,6.39,-0.91,-12.4658,5763.0,3746.0,7.3,6.62,6.8,6.35,6.39,1.0,6.5001,??,2016-12-27 10:25:34,0
397488,-543899,000035.SZ,19940602,CNY,6.39,6.2,6.2,5.8,5.94,-0.45,-7.0423,7838.0,4661.0,6.39,6.2,6.2,5.8,5.94,1.0,5.9467,??,2016-12-27 10:25:34,0
397490,-543900,000035.SZ,19940603,CNY,5.94,6.0,6.09,5.8,5.88,-0.06,-1.0101,4750.0,2841.0,5.94,6.0,6.09,5.8,5.88,1.0,5.9811,??,2016-12-27 10:25:34,0
397491,-543901,000035.SZ,19940606,CNY,5.88,5.88,5.88,5.61,5.62,-0.26,-4.4218,2045.0,1158.0,5.88,5.88,5.88,5.61,5.62,1.0,5.6626,??,2016-12-27 10:25:34,0
397492,-543902,000035.SZ,19940607,CNY,5.62,5.62,5.62,5.5,5.58,-0.04,-0.7117,341.0,189.0,5.62,5.62,5.62,5.5,5.58,1.0,5.5425,??,2016-12-27 10:25:34,0
397493,-543903,000035.SZ,19940608,CNY,5.58,5.5,5.76,5.4,5.61,0.03,0.5376,2505.0,1394.0,5.58,5.5,5.76,5.4,5.61,1.0,5.5649,??,2016-12-27 10:25:34,0
