,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
375633,-524030,000021.SZ,19940202,CNY,4.65,8.0,8.15,7.6,7.9,3.25,69.8925,19313.0,15090.0,4.65,8.0,8.15,7.6,7.9,1.0,7.8134,??,2016-12-27 10:25:38,0
375634,-524031,000021.SZ,19940203,CNY,7.9,7.9,9.2,7.7,9.2,1.3,16.4557,27486.0,23038.0,7.9,7.9,9.2,7.7,9.2,1.0,8.3817,??,2016-12-27 10:25:38,0
375635,-524032,000021.SZ,19940204,CNY,9.2,9.5,11.3,9.25,11.15,1.95,21.1957,45507.0,47962.0,9.2,9.5,11.3,9.25,11.15,1.0,10.5395,??,2016-12-27 10:25:38,0
375636,-524033,000021.SZ,19940214,CNY,11.15,11.3,11.5,10.1,10.2,-0.95,-8.5202,22951.0,24713.0,11.15,11.3,11.5,10.1,10.2,1.0,10.7677,??,2016-12-27 10:25:38,0
375637,-524034,000021.SZ,19940215,CNY,10.2,10.05,10.7,10.0,10.5,0.3,2.9412,16780.0,17397.0,10.2,10.05,10.7,10.0,10.5,1.0,10.3677,??,2016-12-27 10:25:38,0
375638,-524035,000021.SZ,19940216,CNY,10.5,10.6,10.7,10.1,10.25,-0.25,-2.381,9832.0,10291.0,10.5,10.6,10.7,10.1,10.25,1.0,10.4668,??,2016-12-27 10:25:38,0
375639,-524036,000021.SZ,19940217,CNY,10.25,10.05,10.2,10.0,10.05,-0.2,-1.9512,6568.0,6602.0,10.25,10.05,10.2,10.0,10.05,1.0,10.0518,??,2016-12-27 10:25:38,0
375640,-524037,000021.SZ,19940218,CNY,10.05,9.9,10.1,9.85,10.0,-0.05,-0.4975,4367.0,4347.0,10.05,9.9,10.1,9.85,10.0,1.0,9.9542,??,2016-12-27 10:25:38,0
375641,-524038,000021.SZ,19940221,CNY,10.0,9.9,9.9,9.4,9.4,-0.6,-6.0,4574.0,4386.0,10.0,9.9,9.9,9.4,9.4,1.0,9.589,??,2016-12-27 10:25:38,0
375642,-524039,000021.SZ,19940222,CNY,9.4,9.7,11.0,9.7,10.4,1.0,10.6383,26282.0,27400.0,9.4,9.7,11.0,9.7,10.4,1.0,10.4254,??,2016-12-27 10:25:38,0
375644,-524040,000021.SZ,19940223,CNY,10.4,10.55,10.6,10.2,10.5,0.1,0.9615,11446.0,11900.0,10.4,10.55,10.6,10.2,10.5,1.0,10.3966,??,2016-12-27 10:25:38,0
375645,-524041,000021.SZ,19940224,CNY,10.5,10.7,11.4,10.55,11.4,0.9,8.5714,26625.0,28874.0,10.5,10.7,11.4,10.55,11.4,1.0,10.8447,??,2016-12-27 10:25:38,0
375646,-524042,000021.SZ,19940225,CNY,11.4,11.6,12.15,11.6,11.75,0.35,3.0702,57333.0,68059.0,11.4,11.6,12.15,11.6,11.75,1.0,11.8708,??,2016-12-27 10:25:38,0
375647,-524043,000021.SZ,19940228,CNY,11.75,11.95,12.0,11.5,11.55,-0.2,-1.7021,21676.0,25627.0,11.75,11.95,12.0,11.5,11.55,1.0,11.8228,??,2016-12-27 10:25:38,0
375648,-524044,000021.SZ,19940301,CNY,11.55,11.45,11.85,11.45,11.55,0.0,0.0,11651.0,13559.0,11.55,11.45,11.85,11.45,11.55,1.0,11.6376,??,2016-12-27 10:25:38,0
375649,-524045,000021.SZ,19940302,CNY,11.55,11.6,11.7,11.3,11.4,-0.15,-1.2987,6809.0,7796.0,11.55,11.6,11.7,11.3,11.4,1.0,11.4496,??,2016-12-27 10:25:38,0
375650,-524046,000021.SZ,19940303,CNY,11.4,11.4,11.9,11.0,11.3,-0.1,-0.8772,11414.0,12881.0,11.4,11.4,11.9,11.0,11.3,1.0,11.2853,??,2016-12-27 10:25:38,0
375651,-524047,000021.SZ,19940304,CNY,11.3,11.2,11.6,11.05,11.4,0.1,0.885,13109.0,14872.0,11.3,11.2,11.6,11.05,11.4,1.0,11.3449,??,2016-12-27 10:25:38,0
375652,-524048,000021.SZ,19940307,CNY,11.4,11.5,11.55,11.2,11.45,0.05,0.4386,9359.0,10596.0,11.4,11.5,11.55,11.2,11.45,1.0,11.3217,??,2016-12-27 10:25:38,0
375653,-524049,000021.SZ,19940308,CNY,11.45,11.4,11.55,11.25,11.35,-0.1,-0.8734,6254.0,7122.0,11.45,11.4,11.55,11.25,11.35,1.0,11.3879,??,2016-12-27 10:25:38,0
375655,-524050,000021.SZ,19940309,CNY,11.35,11.35,11.45,11.25,11.25,-0.1,-0.8811,4977.0,5637.0,11.35,11.35,11.45,11.25,11.25,1.0,11.3261,??,2016-12-27 10:25:38,0
375656,-524051,000021.SZ,19940310,CNY,11.25,11.25,11.5,11.1,11.15,-0.1,-0.8889,7430.0,8331.0,11.25,11.25,11.5,11.1,11.15,1.0,11.2127,??,2016-12-27 10:25:38,0
375657,-524052,000021.SZ,19940311,CNY,11.15,11.1,11.8,11.0,11.5,0.35,3.139,16730.0,19208.0,11.15,11.1,11.8,11.0,11.5,1.0,11.4812,??,2016-12-27 10:25:38,0
375658,-524053,000021.SZ,19940314,CNY,11.5,11.8,12.3,11.8,12.25,0.75,6.5217,43147.0,52250.0,11.5,11.8,12.3,11.8,12.25,1.0,12.1098,??,2016-12-27 10:25:38,0
375659,-524054,000021.SZ,19940315,CNY,12.25,12.45,12.45,11.6,11.7,-0.55,-4.4898,19430.0,23453.0,12.25,12.45,12.45,11.6,11.7,1.0,12.0705,??,2016-12-27 10:25:38,0
375660,-524055,000021.SZ,19940316,CNY,11.7,11.7,11.9,11.6,11.8,0.1,0.8547,11653.0,13706.0,11.7,11.7,11.9,11.6,11.8,1.0,11.7618,??,2016-12-27 10:25:38,0
375661,-524056,000021.SZ,19940317,CNY,11.8,11.8,12.1,11.8,11.95,0.15,1.2712,10823.0,12953.0,11.8,11.8,12.1,11.8,11.95,1.0,11.968,??,2016-12-27 10:25:38,0
375662,-524057,000021.SZ,19940318,CNY,11.95,12.25,12.3,12.0,12.05,0.1,0.8368,14416.0,17499.0,11.95,12.25,12.3,12.0,12.05,1.0,12.1386,??,2016-12-27 10:25:38,0
375663,-524058,000021.SZ,19940321,CNY,12.05,12.15,12.2,11.6,11.6,-0.45,-3.7344,9308.0,10953.0,12.05,12.15,12.2,11.6,11.6,1.0,11.7673,??,2016-12-27 10:25:38,0
375664,-524059,000021.SZ,19940322,CNY,11.6,11.45,11.6,11.4,11.55,-0.05,-0.431,4387.0,5039.0,11.6,11.45,11.6,11.4,11.55,1.0,11.4862,??,2016-12-27 10:25:38,0
375666,-524060,000021.SZ,19940323,CNY,11.55,11.5,11.5,11.15,11.25,-0.3,-2.5974,4816.0,5459.0,11.55,11.5,11.5,11.15,11.25,1.0,11.3351,??,2016-12-27 10:25:38,0
375667,-524061,000021.SZ,19940324,CNY,11.25,11.15,11.3,11.1,11.2,-0.05,-0.4444,5319.0,5958.0,11.25,11.15,11.3,11.1,11.2,1.0,11.2014,??,2016-12-27 10:25:38,0
375668,-524062,000021.SZ,19940325,CNY,11.2,11.2,11.45,11.2,11.3,0.1,0.8929,3452.0,3896.0,11.2,11.2,11.45,11.2,11.3,1.0,11.2862,??,2016-12-27 10:25:38,0
375669,-524063,000021.SZ,19940328,CNY,11.3,11.25,11.25,10.95,10.95,-0.35,-3.0973,3679.0,4054.0,11.3,11.25,11.25,10.95,10.95,1.0,11.0193,??,2016-12-27 10:25:38,0
375670,-524064,000021.SZ,19940329,CNY,10.95,11.05,11.3,10.6,11.3,0.35,3.1963,4612.0,5002.0,10.95,11.05,11.3,10.6,11.3,1.0,10.8456,??,2016-12-27 10:25:38,0
375671,-524065,000021.SZ,19940330,CNY,11.3,11.3,11.35,10.8,11.1,-0.2,-1.7699,9257.0,10266.0,11.3,11.3,11.35,10.8,11.1,1.0,11.09,??,2016-12-27 10:25:38,0
375672,-524066,000021.SZ,19940331,CNY,11.1,11.0,11.0,10.65,10.7,-0.4,-3.6036,2770.0,3001.0,11.1,11.0,11.0,10.65,10.7,1.0,10.8339,??,2016-12-27 10:25:38,0
375673,-524067,000021.SZ,19940401,CNY,10.7,10.65,10.7,10.45,10.5,-0.2,-1.8692,3858.0,4073.0,10.7,10.65,10.7,10.45,10.5,1.0,10.5573,??,2016-12-27 10:25:38,0
375674,-524068,000021.SZ,19940404,CNY,10.5,10.45,10.75,10.35,10.35,-0.15,-1.4286,2217.0,2326.0,10.5,10.45,10.75,10.35,10.35,1.0,10.4917,??,2016-12-27 10:25:38,0
375675,-524069,000021.SZ,19940405,CNY,10.35,10.25,10.85,10.2,10.6,0.25,2.4155,7526.0,8007.0,10.35,10.25,10.85,10.2,10.6,1.0,10.6391,??,2016-12-27 10:25:38,0
375677,-524070,000021.SZ,19940406,CNY,10.6,10.65,10.75,10.6,10.7,0.1,0.9434,4374.0,4669.0,10.6,10.65,10.75,10.6,10.7,1.0,10.6744,??,2016-12-27 10:25:38,0
