,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
481851,-620613,000525.SZ,19931028,CNY,2.68,7.0,7.8,7.0,7.8,5.12,191.0448,49217.0,36395.0,2.68,7.0,7.8,7.0,7.8,1.0,7.3948,??,2016-12-27 10:24:57,0
481852,-620614,000525.SZ,19931029,CNY,7.8,7.9,7.9,7.5,7.6,-0.2,-2.5641,37825.0,29034.0,7.8,7.9,7.9,7.5,7.6,1.0,7.6759,??,2016-12-27 10:24:57,0
481853,-620615,000525.SZ,19931101,CNY,7.6,7.45,7.45,7.3,7.35,-0.25,-3.2895,9470.0,6973.0,7.6,7.45,7.45,7.3,7.35,1.0,7.3633,??,2016-12-27 10:24:57,0
481854,-620616,000525.SZ,19931102,CNY,7.35,7.2,7.4,7.2,7.3,-0.05,-0.6803,12911.0,9406.0,7.35,7.2,7.4,7.2,7.3,1.0,7.2853,??,2016-12-27 10:24:57,0
481855,-620617,000525.SZ,19931103,CNY,7.3,7.25,7.3,7.1,7.2,-0.1,-1.3699,8411.0,6050.0,7.3,7.25,7.3,7.1,7.2,1.0,7.193,??,2016-12-27 10:24:57,0
481856,-620618,000525.SZ,19931104,CNY,7.2,7.1,7.1,6.9,6.9,-0.3,-4.1667,8047.0,5625.0,7.2,7.1,7.1,6.9,6.9,1.0,6.9902,??,2016-12-27 10:24:57,0
481857,-620619,000525.SZ,19931105,CNY,6.9,6.9,7.2,6.8,7.15,0.25,3.6232,8084.0,5637.0,6.9,6.9,7.2,6.8,7.15,1.0,6.973,??,2016-12-27 10:24:57,0
481859,-620620,000525.SZ,19931108,CNY,7.15,7.0,7.8,7.0,7.7,0.55,7.6923,40214.0,30213.0,7.15,7.0,7.8,7.0,7.7,1.0,7.5131,??,2016-12-27 10:24:57,0
481860,-620621,000525.SZ,19931109,CNY,7.7,7.6,7.7,7.25,7.6,-0.1,-1.2987,36640.0,27816.0,7.7,7.6,7.7,7.25,7.6,1.0,7.5917,??,2016-12-27 10:24:57,0
481861,-620622,000525.SZ,19931110,CNY,7.6,7.7,8.55,7.65,8.4,0.8,10.5263,83071.0,68492.0,7.6,7.7,8.55,7.65,8.4,1.0,8.245,??,2016-12-27 10:24:57,0
481862,-620623,000525.SZ,19931111,CNY,8.4,8.55,9.2,8.5,9.2,0.8,9.5238,80454.0,71453.0,8.4,8.55,9.2,8.5,9.2,1.0,8.8812,??,2016-12-27 10:24:57,0
481863,-620624,000525.SZ,19931112,CNY,9.2,9.35,9.5,8.85,9.5,0.3,3.2609,49682.0,45419.0,9.2,9.35,9.5,8.85,9.5,1.0,9.1419,??,2016-12-27 10:24:57,0
481864,-620625,000525.SZ,19931115,CNY,9.5,9.65,10.1,9.5,9.7,0.2,2.1053,54156.0,52916.0,9.5,9.65,10.1,9.5,9.7,1.0,9.771,??,2016-12-27 10:24:57,0
481865,-620626,000525.SZ,19931116,CNY,9.7,9.55,9.85,9.25,9.6,-0.1,-1.0309,36154.0,34484.0,9.7,9.55,9.85,9.25,9.6,1.0,9.5381,??,2016-12-27 10:24:57,0
481866,-620627,000525.SZ,19931117,CNY,9.6,9.6,10.5,9.6,10.4,0.8,8.3333,46362.0,46518.0,9.6,9.6,10.5,9.6,10.4,1.0,10.0336,??,2016-12-27 10:24:57,0
481867,-620628,000525.SZ,19931118,CNY,10.4,10.55,10.8,10.0,10.3,-0.1,-0.9615,52232.0,54759.0,10.4,10.55,10.8,10.0,10.3,1.0,10.4838,??,2016-12-27 10:24:57,0
481868,-620629,000525.SZ,19931119,CNY,10.3,10.4,10.7,10.1,10.65,0.35,3.3981,30837.0,31982.0,10.3,10.4,10.7,10.1,10.65,1.0,10.3713,??,2016-12-27 10:24:57,0
481870,-620630,000525.SZ,19931122,CNY,10.65,10.8,11.6,10.8,11.05,0.4,3.7559,68984.0,77295.0,10.65,10.8,11.6,10.8,11.05,1.0,11.2048,??,2016-12-27 10:24:57,0
481871,-620631,000525.SZ,19931123,CNY,11.05,11.0,11.2,10.5,10.55,-0.5,-4.5249,32981.0,35301.0,11.05,11.0,11.2,10.5,10.55,1.0,10.7034,??,2016-12-27 10:24:57,0
481872,-620632,000525.SZ,19931124,CNY,10.55,10.55,11.45,10.0,10.75,0.2,1.8957,65967.0,70602.0,10.55,10.55,11.45,10.0,10.75,1.0,10.7026,??,2016-12-27 10:24:57,0
481873,-620633,000525.SZ,19931125,CNY,10.75,10.85,11.25,10.6,11.05,0.3,2.7907,63869.0,70348.0,10.75,10.85,11.25,10.6,11.05,1.0,11.0144,??,2016-12-27 10:24:57,0
481874,-620634,000525.SZ,19931126,CNY,11.05,11.15,11.2,10.55,10.65,-0.4,-3.6199,25557.0,27508.0,11.05,11.15,11.2,10.55,10.65,1.0,10.7634,??,2016-12-27 10:24:57,0
481875,-620635,000525.SZ,19931129,CNY,10.65,10.65,10.65,10.0,10.3,-0.35,-3.2864,15844.0,16358.0,10.65,10.65,10.65,10.0,10.3,1.0,10.3244,??,2016-12-27 10:24:57,0
481876,-620636,000525.SZ,19931130,CNY,10.3,10.3,10.5,10.1,10.25,-0.05,-0.4854,10127.0,10428.0,10.3,10.3,10.5,10.1,10.25,1.0,10.2972,??,2016-12-27 10:24:57,0
481877,-620637,000525.SZ,19931201,CNY,10.25,10.2,10.2,9.75,9.9,-0.35,-3.4146,12153.0,12104.0,10.25,10.2,10.2,9.75,9.9,1.0,9.9597,??,2016-12-27 10:24:57,0
481878,-620638,000525.SZ,19931202,CNY,9.9,9.9,10.2,9.6,9.85,-0.05,-0.5051,13054.0,12929.0,9.9,9.9,10.2,9.6,9.85,1.0,9.9042,??,2016-12-27 10:24:57,0
481879,-620639,000525.SZ,19931203,CNY,9.85,9.75,10.2,9.7,9.9,0.05,0.5076,9357.0,9355.0,9.85,9.75,10.2,9.7,9.9,1.0,9.9979,??,2016-12-27 10:24:57,0
481881,-620640,000525.SZ,19931206,CNY,9.9,10.0,10.15,9.85,10.15,0.25,2.5253,9305.0,9317.0,9.9,10.0,10.15,9.85,10.15,1.0,10.0129,??,2016-12-27 10:24:57,0
481882,-620641,000525.SZ,19931207,CNY,10.15,10.3,10.3,9.6,9.85,-0.3,-2.9557,10650.0,10677.0,10.15,10.3,10.3,9.6,9.85,1.0,10.0254,??,2016-12-27 10:24:57,0
