,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
379339,-52740,600071.SH,19970528,CNY,5.6,16.0,16.5,15.02,16.0,10.4,185.7143,137172.0,215035.088,5.6,16.0,16.5,15.02,16.0,1.0,15.6763,??,2016-12-27 10:29:54,0
379350,-52741,600071.SH,19970529,CNY,16.0,15.78,16.48,15.21,15.59,-0.41,-2.5625,46336.0,73202.451,16.0,15.78,16.48,15.21,15.59,1.0,15.7982,??,2016-12-27 10:29:54,0
379361,-52742,600071.SH,19970530,CNY,15.59,15.5,15.85,14.78,15.3,-0.29,-1.8602,21264.0,32332.694,15.59,15.5,15.85,14.78,15.3,1.0,15.2054,??,2016-12-27 10:29:55,0
379372,-52743,600071.SH,19970602,CNY,15.3,15.5,16.18,15.18,16.15,0.85,5.5556,37275.0,58391.125,15.3,15.5,16.18,15.18,16.15,1.0,15.665,??,2016-12-27 10:29:56,0
379383,-52744,600071.SH,19970603,CNY,16.15,16.01,16.9,15.7,15.8,-0.35,-2.1672,38008.0,61421.939,16.15,16.01,16.9,15.7,15.8,1.0,16.1603,??,2016-12-27 10:29:56,0
379394,-52745,600071.SH,19970604,CNY,15.8,15.78,15.8,15.36,15.42,-0.38,-2.4051,16386.0,25398.059,15.8,15.78,15.8,15.36,15.42,1.0,15.4999,??,2016-12-27 10:29:57,0
379405,-52746,600071.SH,19970605,CNY,15.42,15.5,15.98,15.3,15.4,-0.02,-0.1297,12282.0,19037.42,15.42,15.5,15.98,15.3,15.4,1.0,15.5003,??,2016-12-27 10:29:58,0
379416,-52747,600071.SH,19970606,CNY,15.4,14.0,14.97,13.86,13.9,-1.5,-9.7403,20044.0,28221.692,15.4,14.0,14.97,13.86,13.9,1.0,14.0799,??,2016-12-27 10:29:58,0
379427,-52748,600071.SH,19970609,CNY,13.9,13.7,14.15,13.09,13.19,-0.71,-5.1079,11890.0,15880.955,13.9,13.7,14.15,13.09,13.19,1.0,13.3566,??,2016-12-27 10:29:59,0
379438,-52749,600071.SH,19970610,CNY,13.19,13.3,13.45,12.02,12.2,-0.99,-7.5057,6401.0,8299.044,13.19,13.3,13.45,12.02,12.2,1.0,12.9652,??,2016-12-27 10:30:00,0
379449,-52750,600071.SH,19970611,CNY,12.2,12.2,12.62,11.48,12.49,0.29,2.377,11741.0,14010.605,12.2,12.2,12.62,11.48,12.49,1.0,11.9331,??,2016-12-27 10:30:00,0
379460,-52751,600071.SH,19970612,CNY,12.49,12.4,12.4,11.9,12.0,-0.49,-3.9231,8755.0,10615.918,12.49,12.4,12.4,11.9,12.0,1.0,12.1255,??,2016-12-27 10:30:01,0
379471,-52752,600071.SH,19970613,CNY,12.0,11.2,12.51,11.2,12.48,0.48,4.0,10334.0,12471.182,12.0,11.2,12.51,11.2,12.48,1.0,12.0681,??,2016-12-27 10:30:02,0
379482,-52753,600071.SH,19970616,CNY,12.48,12.55,12.67,12.2,12.39,-0.09,-0.7212,9144.0,11367.433,12.48,12.55,12.67,12.2,12.39,1.0,12.4316,??,2016-12-27 10:30:02,0
379493,-52754,600071.SH,19970617,CNY,12.39,12.35,12.4,11.95,12.0,-0.39,-3.1477,5470.0,6659.671,12.39,12.35,12.4,11.95,12.0,1.0,12.1749,??,2016-12-27 10:30:03,0
379504,-52755,600071.SH,19970618,CNY,12.0,12.15,12.3,11.72,11.85,-0.15,-1.25,5993.0,7200.845,12.0,12.15,12.3,11.72,11.85,1.0,12.0154,??,2016-12-27 10:30:04,0
379515,-52756,600071.SH,19970619,CNY,11.85,11.79,12.05,11.63,11.75,-0.1,-0.8439,4087.0,4842.348,11.85,11.79,12.05,11.63,11.75,1.0,11.8482,??,2016-12-27 10:30:04,0
379526,-52757,600071.SH,19970620,CNY,11.75,12.01,12.45,11.9,12.36,0.61,5.1915,7176.0,8773.292,11.75,12.01,12.45,11.9,12.36,1.0,12.2259,??,2016-12-27 10:30:05,0
379537,-52758,600071.SH,19970623,CNY,12.36,12.6,12.68,11.51,11.9,-0.46,-3.7217,8555.0,10377.034,12.36,12.6,12.68,11.51,11.9,1.0,12.1298,??,2016-12-27 10:30:06,0
379548,-52759,600071.SH,19970624,CNY,11.9,12.01,12.38,11.93,12.28,0.38,3.1933,6399.0,7792.162,11.9,12.01,12.38,11.93,12.28,1.0,12.1772,??,2016-12-27 10:30:07,0
379559,-52760,600071.SH,19970625,CNY,12.28,12.3,12.38,11.9,12.0,-0.28,-2.2801,4713.0,5668.401,12.28,12.3,12.38,11.9,12.0,1.0,12.0272,??,2016-12-27 10:30:07,0
379570,-52761,600071.SH,19970626,CNY,12.0,12.01,12.18,11.75,11.79,-0.21,-1.75,4948.0,5873.316,12.0,12.01,12.18,11.75,11.79,1.0,11.8701,??,2016-12-27 10:30:08,0
379581,-52762,600071.SH,19970627,CNY,11.79,11.82,11.95,11.28,11.28,-0.51,-4.3257,5720.0,6667.973,11.79,11.82,11.95,11.28,11.28,1.0,11.6573,??,2016-12-27 10:30:09,0
379592,-52763,600071.SH,19970702,CNY,11.28,11.74,11.74,10.16,10.46,-0.82,-7.2695,7472.0,8040.074,11.28,11.74,11.74,10.16,10.46,1.0,10.7603,??,2016-12-27 10:30:09,0
379603,-52764,600071.SH,19970703,CNY,10.46,10.55,10.78,9.91,10.35,-0.11,-1.0516,9665.0,9979.952,10.46,10.55,10.78,9.91,10.35,1.0,10.3259,??,2016-12-27 10:30:10,0
379614,-52765,600071.SH,19970704,CNY,10.35,10.1,10.69,10.1,10.52,0.17,1.6425,5252.0,5513.91,10.35,10.1,10.69,10.1,10.52,1.0,10.4987,??,2016-12-27 10:30:11,0
379625,-52766,600071.SH,19970707,CNY,10.52,10.58,10.6,9.83,9.94,-0.58,-5.5133,6338.0,6378.927,10.52,10.58,10.6,9.83,9.94,1.0,10.0646,??,2016-12-27 10:30:12,0
379636,-52767,600071.SH,19970708,CNY,9.94,10.18,10.5,9.8,10.38,0.44,4.4266,6023.0,6091.456,9.94,10.18,10.5,9.8,10.38,1.0,10.1137,??,2016-12-27 10:30:12,0
379647,-52768,600071.SH,19970709,CNY,10.38,10.37,10.48,10.21,10.36,-0.02,-0.1927,3687.0,3822.433,10.38,10.37,10.48,10.21,10.36,1.0,10.3673,??,2016-12-27 10:30:13,0
379658,-52769,600071.SH,19970710,CNY,10.36,10.42,10.42,10.0,10.18,-0.18,-1.7375,4893.0,4983.942,10.36,10.42,10.42,10.0,10.18,1.0,10.1859,??,2016-12-27 10:30:14,0
379669,-52770,600071.SH,19970711,CNY,10.18,9.82,10.84,9.82,10.7,0.52,5.1081,7497.0,7930.622,10.18,9.82,10.84,9.82,10.7,1.0,10.5784,??,2016-12-27 10:30:14,0
379680,-52771,600071.SH,19970714,CNY,10.7,10.9,11.38,10.85,11.2,0.5,4.6729,12926.0,14430.609,10.7,10.9,11.38,10.85,11.2,1.0,11.164,??,2016-12-27 10:30:15,0
379691,-52772,600071.SH,19970715,CNY,11.2,11.31,11.34,10.83,11.06,-0.14,-1.25,6786.0,7501.068,11.2,11.31,11.34,10.83,11.06,1.0,11.0537,??,2016-12-27 10:30:16,0
379702,-52773,600071.SH,19970716,CNY,11.06,11.1,11.78,11.1,11.3,0.24,2.17,13667.0,15690.7,11.06,11.1,11.78,11.1,11.3,1.0,11.4807,??,2016-12-27 10:30:17,0
379713,-52774,600071.SH,19970717,CNY,11.3,11.3,11.68,11.3,11.52,0.22,1.9469,8226.0,9474.993,11.3,11.3,11.68,11.3,11.52,1.0,11.5183,??,2016-12-27 10:30:18,0
379724,-52775,600071.SH,19970718,CNY,11.52,11.52,11.6,11.3,11.48,-0.04,-0.3472,6042.0,6884.624,11.52,11.52,11.6,11.3,11.48,1.0,11.3946,??,2016-12-27 10:30:18,0
379735,-52776,600071.SH,19970721,CNY,11.48,11.55,11.65,11.1,11.15,-0.33,-2.8746,6162.0,7045.754,11.48,11.55,11.65,11.1,11.15,1.0,11.4342,??,2016-12-27 10:30:19,0
379746,-52777,600071.SH,19970722,CNY,11.15,11.1,11.28,10.81,11.25,0.1,0.8969,5913.0,6524.641,11.15,11.1,11.28,10.81,11.25,1.0,11.0344,??,2016-12-27 10:30:20,0
379757,-52778,600071.SH,19970723,CNY,11.25,11.33,11.65,11.28,11.3,0.05,0.4444,5464.0,6242.873,11.25,11.33,11.65,11.28,11.3,1.0,11.4255,??,2016-12-27 10:30:21,0
379768,-52779,600071.SH,19970724,CNY,11.3,11.35,11.5,11.11,11.11,-0.19,-1.6814,3494.0,3952.904,11.3,11.35,11.5,11.11,11.11,1.0,11.3134,??,2016-12-27 10:30:22,0
379779,-52780,600071.SH,19970725,CNY,11.11,11.0,11.3,10.9,11.1,-0.01,-0.09,3761.0,4164.753,11.11,11.0,11.3,10.9,11.1,1.0,11.0735,??,2016-12-27 10:30:23,0
379790,-52781,600071.SH,19970728,CNY,11.1,11.1,11.1,10.51,10.67,-0.43,-3.8739,2940.0,3186.527,11.1,11.1,11.1,10.51,10.67,1.0,10.8385,??,2016-12-27 10:30:24,0
379801,-52782,600071.SH,19970729,CNY,10.67,10.53,10.78,10.51,10.69,0.02,0.1874,2130.0,2270.232,10.67,10.53,10.78,10.51,10.69,1.0,10.6584,??,2016-12-27 10:30:25,0
