,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
1011058,{00048007-93B7-4D7B-9934-AF115CD9B3D2},300399.SZ,20161208,CNY,35.22,35.21,35.32,34.74,34.86,-0.36,-1.0221,9716.84,34066.139,67.0,66.98,67.19,66.08,66.31,1.902244,35.0589,??,2016-12-08 15:26:09,0
1013469,{001BC412-E707-45AA-8D4A-01ABC4E2016E},300399.SZ,20141013,CNY,17.72,19.49,19.49,19.49,19.49,1.77,9.9887,133.0,259.217,17.72,19.49,19.49,19.49,19.49,1.0,19.49,??,2016-12-27 12:23:06,0
1024673,{0088B388-EDD0-4ECA-93C7-E39D6F0F46B7},300399.SZ,20150813,CNY,90.24,89.5,93.8,88.5,93.52,3.28,3.6348,13817.37,126791.3984,90.27,89.53,93.83,88.53,93.55,1.000332,91.7623,??,2016-12-27 12:46:39,0
1030002,{00BB062E-ABB9-401E-9657-9F66F92F735A},300399.SZ,20151216,CNY,62.5,63.65,63.7,62.0,62.23,-0.27,-0.432,22454.62,140732.0351,118.78,120.97,121.06,117.83,118.27,1.900517,62.674,??,2016-12-27 12:56:20,0
1037703,{00FAC8F3-25AD-400F-9C90-A7C59A284ED0},300399.SZ,20160429,CNY,40.7,40.25,40.98,38.72,38.99,-1.71,-4.2015,33460.61,132551.0136,77.35,76.5,77.88,73.59,74.1,1.900517,39.614,??,2016-12-27 13:09:35,0
1040505,{01154D16-AC53-4D5F-9E8A-9A1E4F400DF2},300399.SZ,20150924,CNY,77.65,78.16,81.53,77.42,78.45,0.8,1.0303,16358.56,130089.6782,77.68,78.19,81.56,77.45,78.48,1.000332,79.5239,??,2016-12-27 12:49:42,0
1051128,{017AE428-115C-42DC-ABB8-8D237500F128},300399.SZ,20151209,CNY,62.6,62.0,63.8,61.3,61.96,-0.64,-1.0224,27701.53,172876.702,118.97,117.83,121.25,116.5,117.76,1.900517,62.4069,??,2016-12-27 12:55:47,0
1058364,{01BE36E0-2DA7-4ABE-AC5C-E650B41FE99E},300399.SZ,20160708,CNY,42.59,42.33,43.77,42.12,43.45,0.86,2.0193,44364.57,191436.2762,81.02,80.52,83.26,80.12,82.65,1.902244,43.1507,??,2016-12-27 13:17:24,0
1083022,{02A847F6-1C1C-4CE1-8A08-7F544EABFC35},300399.SZ,20150515,CNY,275.4,256.0,296.0,252.04,275.01,-0.39,-0.1416,11422.26,311032.6402,275.4,256.0,296.0,252.04,275.01,1.0,272.3039,??,2016-12-27 12:39:39,0
1141303,{04BAA044-ABFB-421B-8050-CE0571831253},300399.SZ,20160321,CNY,45.42,44.9,47.9,44.11,47.2,1.78,3.919,111567.17,514832.3204,86.32,85.33,91.03,83.83,89.7,1.900517,46.1455,??,2016-12-27 13:05:08,0
1176549,{0608291A-98E6-4D15-B415-ECC834E1749D},300399.SZ,20160509,CNY,37.12,35.82,36.82,34.4,34.78,-2.34,-6.3039,26762.39,94313.9705,70.55,68.08,69.98,65.38,66.1,1.900517,35.2412,??,2016-12-27 13:10:48,0
1192191,{06921887-89BC-4BF0-9982-1FD7E427FED3},300399.SZ,20150327,CNY,171.0,165.21,182.87,165.11,172.98,1.98,1.1579,13875.68,244246.9029,171.0,165.21,182.87,165.11,172.98,1.0,176.0252,??,2016-12-27 12:37:10,0
1195477,{06B1222D-08CF-475C-9D3E-B9676D2EB640},300399.SZ,20150205,CNY,95.6,100.99,101.66,93.4,98.1,2.5,2.6151,61400.14,596950.7515,95.6,100.99,101.66,93.4,98.1,1.0,97.223,??,2016-12-27 12:34:25,0
1200571,{06D74825-9514-4107-BFEE-065052AB90A2},300399.SZ,20151218,CNY,64.1,64.1,64.3,62.01,62.52,-1.58,-2.4649,27451.03,172925.9133,121.82,121.82,122.2,117.85,118.82,1.900517,62.9943,??,2016-12-27 12:56:14,0
1206669,{0700F62F-ED04-11E6-A728-6C0B84A6895D},300399.SZ,20170207,CNY,29.85,29.85,30.14,29.3,29.5,-0.35,-1.1725,13770.67,40839.08,56.78,56.78,57.33,55.74,56.12,1.902244,29.6566,??,2017-02-07 15:12:26,0
1208630,{0711A563-A671-4A79-864C-8AD0E52ADC6F},300399.SZ,20150811,CNY,93.0,92.39,100.49,89.15,97.28,4.28,4.6022,28827.34,272174.4466,93.03,92.42,100.52,89.18,97.31,1.000332,94.4154,??,2016-12-27 12:46:16,0
1213220,{073C9632-5E9B-4F92-8B07-DA1BD197A600},300399.SZ,20160822,CNY,36.88,36.73,37.24,35.91,36.0,-0.88,-2.3861,16542.23,60534.6975,70.15,69.87,70.84,68.31,68.48,1.902244,36.594,??,2016-12-27 13:22:16,0
1235728,{0811C6B8-1100-4E4C-A996-D6494B964321},300399.SZ,20150610,CNY,271.26,271.26,271.26,271.26,271.26,0.0,0.0,0.0,0.0,271.26,271.26,271.26,271.26,271.26,1.0,271.26,??,2016-12-27 12:41:22,0
1236825,{081C9EE6-70A8-440A-BD7E-96DD4D0FE0B6},300399.SZ,20141222,CNY,58.08,56.8,56.97,52.27,52.27,-5.81,-10.0034,20942.67,112302.3914,58.08,56.8,56.97,52.27,52.27,1.0,53.6237,??,2016-12-27 12:26:34,0
1326776,{0B527BAC-58D0-4195-B543-65820C40AC67},300399.SZ,20150707,CNY,94.56,85.1,85.1,85.1,85.1,-9.46,-10.0042,533.0,4535.83,94.59,85.13,85.13,85.13,85.13,1.000332,85.1,??,2016-12-27 12:43:12,0
1331854,{0B82CA4E-10A5-4CAE-94B2-2593E38D65B5},300399.SZ,20160803,CNY,34.56,34.54,34.56,33.88,34.2,-0.36,-1.0417,13516.25,46233.7589,65.74,65.7,65.74,64.45,65.06,1.902244,34.2061,??,2016-12-27 13:20:48,0
1334621,{0B9C4DF0-3DC5-4EFD-B07E-0EAAC7B08B07},300399.SZ,20141016,CNY,23.58,25.94,25.94,25.94,25.94,2.36,10.0085,419.5,1088.183,23.58,25.94,25.94,25.94,25.94,1.0,25.94,??,2016-12-27 12:22:46,0
1353599,{0C4F9FD5-E59D-4874-9885-1FEC57C1C8D0},300399.SZ,20151215,CNY,61.2,61.04,64.6,61.0,62.5,1.3,2.1242,35707.21,226002.2451,116.31,116.01,122.77,115.93,118.78,1.900517,63.2932,??,2016-12-27 12:56:25,0
1369173,{0CE1B799-BF66-465A-AD20-8A36835F85F3},300399.SZ,20141218,CNY,61.2,60.85,63.35,60.35,60.51,-0.69,-1.1275,17950.62,111736.0249,61.2,60.85,63.35,60.35,60.51,1.0,62.2463,??,2016-12-27 12:26:24,0
1387463,{0D8BFDB0-4CA5-4B25-9944-3F5B5DA1AEE9},300399.SZ,20161121,CNY,36.33,36.08,37.4,36.07,36.96,0.63,1.7341,34030.09,125553.148,69.11,68.63,71.14,68.61,70.31,1.902244,36.8947,??,2016-11-21 15:25:19,0
1396996,{0DDB878C-2F51-400F-A5B5-95AC552E3CC7},300399.SZ,20160219,CNY,39.05,39.0,39.9,38.53,39.46,0.41,1.0499,23019.9,90279.471,74.22,74.12,75.83,73.23,74.99,1.900517,39.218,??,2016-12-27 13:02:31,0
1411378,{0E610989-1BDE-48E3-B55A-16F385598ED6},300399.SZ,20150714,CNY,101.95,103.01,112.15,102.51,112.15,10.2,10.0049,30224.81,329794.683,101.98,103.04,112.19,102.54,112.19,1.000332,109.1139,??,2016-12-27 12:43:41,0
1422088,{0EC62033-4524-4B85-B9C2-AF64A9AAD071},300399.SZ,20150108,CNY,50.13,50.13,52.3,49.72,51.01,0.88,1.7554,10245.85,52591.9523,50.13,50.13,52.3,49.72,51.01,1.0,51.33,??,2016-12-27 12:32:59,0
