,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
332283,-44495,600055.SH,19970519,CNY,8.54,24.8,25.0,22.5,22.66,14.12,165.3396,78255.0,180567.976,8.54,24.8,25.0,22.5,22.66,1.0,23.0743,??,2016-12-27 10:29:49,0
332284,-44496,600055.SH,19970520,CNY,22.66,22.3,22.4,21.38,21.9,-0.76,-3.3539,24197.0,52540.182,22.66,22.3,22.4,21.38,21.9,1.0,21.7135,??,2016-12-27 10:29:50,0
332285,-44497,600055.SH,19970521,CNY,21.9,22.0,22.45,20.88,21.02,-0.88,-4.0183,17784.0,38422.882,21.9,22.0,22.45,20.88,21.02,1.0,21.6053,??,2016-12-27 10:29:51,0
332286,-44498,600055.SH,19970522,CNY,21.02,18.92,19.98,18.92,18.92,-2.1,-9.9905,17055.0,32482.382,21.02,18.92,19.98,18.92,18.92,1.0,19.0457,??,2016-12-27 10:29:51,0
332287,-44499,600055.SH,19970523,CNY,18.92,19.0,19.77,18.2,19.15,0.23,1.2156,10834.0,20493.991,18.92,19.0,19.77,18.2,19.15,1.0,18.9164,??,2016-12-27 10:29:52,0
332288,-44500,600055.SH,19970526,CNY,19.15,19.48,19.7,18.02,18.9,-0.25,-1.3055,7933.0,14909.662,19.15,19.48,19.7,18.02,18.9,1.0,18.7945,??,2016-12-27 10:29:52,0
332289,-44501,600055.SH,19970527,CNY,18.9,19.17,19.5,18.7,19.28,0.38,2.0106,9060.0,17412.286,18.9,19.17,19.5,18.7,19.28,1.0,19.2189,??,2016-12-27 10:29:53,0
332290,-44502,600055.SH,19970528,CNY,19.28,19.3,20.26,18.6,19.6,0.32,1.6598,10599.0,20583.466,19.28,19.3,20.26,18.6,19.6,1.0,19.4202,??,2016-12-27 10:29:54,0
332291,-44503,600055.SH,19970529,CNY,19.6,19.5,20.58,19.4,19.75,0.15,0.7653,11443.0,22947.444,19.6,19.5,20.58,19.4,19.75,1.0,20.0537,??,2016-12-27 10:29:54,0
332292,-44504,600055.SH,19970530,CNY,19.75,19.75,20.35,19.4,20.05,0.3,1.519,6039.0,11969.062,19.75,19.75,20.35,19.4,20.05,1.0,19.8196,??,2016-12-27 10:29:55,0
332293,-44505,600055.SH,19970602,CNY,20.05,20.79,21.3,20.38,21.26,1.21,6.0349,14138.0,29628.084,20.05,20.79,21.3,20.38,21.26,1.0,20.9563,??,2016-12-27 10:29:56,0
