,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
315905,-41645,600002.SH,19980408,CNY,5.0,5.47,5.48,5.2,5.25,0.25,5.0,1280956.0,678466.11,5.0,5.47,5.48,5.2,5.25,1.0,5.2966,??,2016-12-27 10:32:50,0
315916,-41646,600002.SH,19980409,CNY,5.25,5.26,5.78,5.26,5.78,0.53,10.0952,846290.0,471064.459,5.25,5.26,5.78,5.26,5.78,1.0,5.5662,??,2016-12-27 10:32:51,0
315927,-41647,600002.SH,19980410,CNY,5.78,5.88,6.36,5.8,6.07,0.29,5.0173,995116.0,601135.283,5.78,5.88,6.36,5.8,6.07,1.0,6.0409,??,2016-12-27 10:32:51,0
315938,-41648,600002.SH,19980413,CNY,6.07,6.1,6.41,6.02,6.1,0.03,0.4942,459987.0,283291.622,6.07,6.1,6.41,6.02,6.1,1.0,6.1587,??,2016-12-27 10:32:52,0
315949,-41649,600002.SH,19980414,CNY,6.1,6.09,6.12,5.87,5.97,-0.13,-2.1311,211464.0,126601.455,6.1,6.09,6.12,5.87,5.97,1.0,5.9869,??,2016-12-27 10:32:53,0
315960,-41650,600002.SH,19980415,CNY,5.97,6.01,6.03,5.8,5.88,-0.09,-1.5075,146431.0,86043.5,5.97,6.01,6.03,5.8,5.88,1.0,5.876,??,2016-12-27 10:32:54,0
315971,-41651,600002.SH,19980416,CNY,5.88,5.88,5.88,5.7,5.76,-0.12,-2.0408,153102.0,88451.144,5.88,5.88,5.88,5.7,5.76,1.0,5.7773,??,2016-12-27 10:32:55,0
315982,-41652,600002.SH,19980417,CNY,5.76,5.75,5.75,5.61,5.67,-0.09,-1.5625,87634.0,49658.225,5.76,5.75,5.75,5.61,5.67,1.0,5.6665,??,2016-12-27 10:32:56,0
315993,-41653,600002.SH,19980420,CNY,5.67,5.61,5.63,5.48,5.5,-0.17,-2.9982,94169.0,52220.354,5.67,5.61,5.63,5.48,5.5,1.0,5.5454,??,2016-12-27 10:32:57,0
316004,-41654,600002.SH,19980421,CNY,5.5,5.5,5.78,5.5,5.63,0.13,2.3636,69826.0,39449.765,5.5,5.5,5.78,5.5,5.63,1.0,5.6497,??,2016-12-27 10:32:57,0
316015,-41655,600002.SH,19980422,CNY,5.63,5.69,5.78,5.6,5.68,0.05,0.8881,65676.0,37147.494,5.63,5.69,5.78,5.6,5.68,1.0,5.6562,??,2016-12-27 10:32:58,0
316026,-41656,600002.SH,19980423,CNY,5.68,5.68,5.72,5.57,5.61,-0.07,-1.2324,54297.0,30433.717,5.68,5.68,5.72,5.57,5.61,1.0,5.605,??,2016-12-27 10:32:59,0
316037,-41657,600002.SH,19980424,CNY,5.61,5.65,5.67,5.55,5.59,-0.02,-0.3565,69601.0,38832.943,5.61,5.65,5.67,5.55,5.59,1.0,5.5794,??,2016-12-27 10:33:00,0
316048,-41658,600002.SH,19980427,CNY,5.59,5.57,5.57,5.45,5.5,-0.09,-1.61,74314.0,40845.254,5.59,5.57,5.57,5.45,5.5,1.0,5.4963,??,2016-12-27 10:33:01,0
316059,-41659,600002.SH,19980428,CNY,5.5,5.52,5.78,5.52,5.67,0.17,3.0909,63049.0,35558.395,5.5,5.52,5.78,5.52,5.67,1.0,5.6398,??,2016-12-27 10:33:01,0
316070,-41660,600002.SH,19980429,CNY,5.67,5.68,5.73,5.56,5.58,-0.09,-1.5873,36968.0,20693.174,5.67,5.68,5.73,5.56,5.58,1.0,5.5976,??,2016-12-27 10:33:02,0
316081,-41661,600002.SH,19980430,CNY,5.58,5.58,5.6,5.52,5.56,-0.02,-0.3584,45847.0,25435.458,5.58,5.58,5.6,5.52,5.56,1.0,5.5479,??,2016-12-27 10:33:03,0
316092,-41662,600002.SH,19980504,CNY,5.56,5.57,5.6,5.49,5.55,-0.01,-0.1799,73241.0,40389.219,5.56,5.57,5.6,5.49,5.55,1.0,5.5146,??,2016-12-27 10:33:04,0
316103,-41663,600002.SH,19980505,CNY,5.55,5.55,5.65,5.51,5.52,-0.03,-0.5405,47202.0,26264.103,5.55,5.55,5.65,5.51,5.52,1.0,5.5642,??,2016-12-27 10:33:05,0
316114,-41664,600002.SH,19980506,CNY,5.52,5.52,5.6,5.49,5.52,0.0,0.0,50392.0,27813.0,5.52,5.52,5.6,5.49,5.52,1.0,5.5193,??,2016-12-27 10:33:06,0
316125,-41665,600002.SH,19980507,CNY,5.52,5.52,5.58,5.45,5.45,-0.07,-1.2681,61368.0,33695.348,5.52,5.52,5.58,5.45,5.45,1.0,5.4907,??,2016-12-27 10:33:06,0
316136,-41666,600002.SH,19980508,CNY,5.45,5.45,5.57,5.44,5.51,0.06,1.1009,65744.0,35987.599,5.45,5.45,5.57,5.44,5.51,1.0,5.4739,??,2016-12-27 10:33:07,0
316147,-41667,600002.SH,19980511,CNY,5.51,5.51,5.61,5.46,5.53,0.02,0.363,76719.0,42327.938,5.51,5.51,5.61,5.46,5.53,1.0,5.5173,??,2016-12-27 10:33:08,0
316158,-41668,600002.SH,19980512,CNY,5.53,5.53,5.8,5.38,5.55,0.02,0.3617,164422.0,92691.518,5.53,5.53,5.8,5.38,5.55,1.0,5.6374,??,2016-12-27 10:33:09,0
316169,-41669,600002.SH,19980513,CNY,5.55,5.55,5.55,5.43,5.48,-0.07,-1.2613,80110.0,43750.579,5.55,5.55,5.55,5.43,5.48,1.0,5.4613,??,2016-12-27 10:33:10,0
316180,-41670,600002.SH,19980514,CNY,5.48,5.48,5.67,5.46,5.51,0.03,0.5474,51645.0,28589.027,5.48,5.48,5.67,5.46,5.51,1.0,5.5357,??,2016-12-27 10:33:11,0
316191,-41671,600002.SH,19980515,CNY,5.51,5.52,5.6,5.49,5.53,0.02,0.363,45871.0,25430.683,5.51,5.52,5.6,5.49,5.53,1.0,5.544,??,2016-12-27 10:33:11,0
316202,-41672,600002.SH,19980518,CNY,5.53,5.58,5.65,5.49,5.51,-0.02,-0.3617,42681.0,23722.43,5.53,5.58,5.65,5.49,5.51,1.0,5.5581,??,2016-12-27 10:33:12,0
316213,-41673,600002.SH,19980519,CNY,5.51,5.51,5.52,5.42,5.43,-0.08,-1.4519,41121.0,22400.424,5.51,5.51,5.52,5.42,5.43,1.0,5.4474,??,2016-12-27 10:33:13,0
316224,-41674,600002.SH,19980520,CNY,5.43,5.43,5.48,5.37,5.39,-0.04,-0.7366,33806.0,18220.881,5.43,5.43,5.48,5.37,5.39,1.0,5.3898,??,2016-12-27 10:33:14,0
