,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
356701,-506798,000011.SZ,19920330,CNY,3.6,10.0,11.95,10.0,11.0,7.4,205.5556,4615.0,5145.0,3.6,10.0,11.95,10.0,11.0,1.0,11.1484,??,2016-12-27 10:24:40,0
356702,-506799,000011.SZ,19920331,CNY,11.0,11.15,11.15,10.3,11.0,0.0,0.0,6405.0,6974.0,11.0,11.15,11.15,10.3,11.0,1.0,10.8884,??,2016-12-27 10:24:40,0
356704,-506800,000011.SZ,19920401,CNY,11.0,11.0,11.5,10.6,11.4,0.4,3.6364,4740.0,5217.0,11.0,11.0,11.5,10.6,11.4,1.0,11.0063,??,2016-12-27 10:24:40,0
356705,-506801,000011.SZ,19920402,CNY,11.4,11.25,11.7,11.0,11.55,0.15,1.3158,5140.0,5846.0,11.4,11.25,11.7,11.0,11.55,1.0,11.3735,??,2016-12-27 10:24:40,0
356706,-506802,000011.SZ,19920403,CNY,11.55,11.5,11.7,11.2,11.5,-0.05,-0.4329,4890.0,5592.0,11.55,11.5,11.7,11.2,11.5,1.0,11.4356,??,2016-12-27 10:24:40,0
356707,-506803,000011.SZ,19920406,CNY,11.5,11.5,11.55,11.2,11.5,0.0,0.0,4055.0,4604.0,11.5,11.5,11.55,11.2,11.5,1.0,11.3539,??,2016-12-27 10:24:40,0
356708,-506804,000011.SZ,19920407,CNY,11.5,11.35,11.5,11.2,11.5,0.0,0.0,4515.0,5163.0,11.5,11.35,11.5,11.2,11.5,1.0,11.4352,??,2016-12-27 10:24:40,0
356709,-506805,000011.SZ,19920408,CNY,11.5,11.5,12.6,11.5,12.35,0.85,7.3913,4305.0,5143.0,11.5,11.5,12.6,11.5,12.35,1.0,11.9466,??,2016-12-27 10:24:40,0
356710,-506806,000011.SZ,19920409,CNY,12.35,12.5,13.6,12.5,13.3,0.95,7.6923,4275.0,5604.0,12.35,12.5,13.6,12.5,13.3,1.0,13.1088,??,2016-12-27 10:24:40,0
356711,-506807,000011.SZ,19920410,CNY,13.3,13.45,14.2,13.3,13.75,0.45,3.3835,4880.0,6716.0,13.3,13.45,14.2,13.3,13.75,1.0,13.7623,??,2016-12-27 10:24:40,0
356712,-506808,000011.SZ,19920413,CNY,13.75,13.9,16.4,13.8,16.0,2.25,16.3636,4750.0,7112.0,13.75,13.9,16.4,13.8,16.0,1.0,14.9726,??,2016-12-27 10:24:40,0
356713,-506809,000011.SZ,19920414,CNY,16.0,16.0,17.5,16.0,17.45,1.45,9.0625,5745.0,9790.0,16.0,16.0,17.5,16.0,17.45,1.0,17.0409,??,2016-12-27 10:24:40,0
356715,-506810,000011.SZ,19920415,CNY,17.45,17.5,18.0,15.6,15.95,-1.5,-8.596,6005.0,10511.0,17.45,17.5,18.0,15.6,15.95,1.0,17.5037,??,2016-12-27 10:24:40,0
356716,-506811,000011.SZ,19920416,CNY,15.95,15.7,17.0,15.3,16.4,0.45,2.8213,6020.0,9776.0,15.95,15.7,17.0,15.3,16.4,1.0,16.2392,??,2016-12-27 10:24:40,0
356717,-506812,000011.SZ,19920417,CNY,16.4,16.55,17.0,16.55,16.7,0.3,1.8293,4885.0,8241.0,16.4,16.55,17.0,16.55,16.7,1.0,16.87,??,2016-12-27 10:24:40,0
356718,-506813,000011.SZ,19920420,CNY,16.7,16.7,17.0,15.8,16.0,-0.7,-4.1916,4140.0,6867.0,16.7,16.7,17.0,15.8,16.0,1.0,16.587,??,2016-12-27 10:24:40,0
356719,-506814,000011.SZ,19920421,CNY,16.0,16.15,16.15,15.6,15.95,-0.05,-0.3125,3245.0,5131.0,16.0,16.15,16.15,15.6,15.95,1.0,15.812,??,2016-12-27 10:24:40,0
