,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
338835,-490211,000002.SZ,19910129,CNY,1.0,14.58,14.58,14.58,14.58,13.58,1358.0,3.0,22.0,1.0,14.58,14.58,14.58,14.58,1.0,73.3333,??,2016-12-27 10:24:32,0
338836,-490212,000002.SZ,19910130,CNY,14.58,14.51,14.51,14.51,14.51,-0.07,-0.4801,17.0,123.0,14.58,14.51,14.51,14.51,14.51,1.0,72.3529,??,2016-12-27 10:24:32,0
338837,-490214,000002.SZ,19910204,CNY,14.59,14.66,14.66,14.66,14.66,0.07,0.4798,56.0,410.0,14.51,14.58,14.58,14.58,14.58,0.994517,73.2143,??,2016-12-27 10:24:32,0
338838,-490215,000002.SZ,19910205,CNY,14.66,14.73,14.73,14.73,14.73,0.07,0.4775,29.0,213.0,14.58,14.65,14.65,14.65,14.65,0.994517,73.4483,??,2016-12-27 10:24:32,0
338839,-490216,000002.SZ,19910206,CNY,14.73,14.8,14.8,14.8,14.8,0.07,0.4752,29.0,215.0,14.65,14.72,14.72,14.72,14.72,0.994517,74.1379,??,2016-12-27 10:24:32,0
338840,-490217,000002.SZ,19910207,CNY,14.8,14.87,14.87,14.87,14.87,0.07,0.473,48.0,357.0,14.72,14.79,14.79,14.79,14.79,0.994517,74.375,??,2016-12-27 10:24:32,0
338841,-490218,000002.SZ,19910208,CNY,14.87,14.94,14.94,14.94,14.94,0.07,0.4707,66.0,493.0,14.79,14.86,14.86,14.86,14.86,0.994517,74.697,??,2016-12-27 10:24:32,0
338843,-490220,000002.SZ,19910211,CNY,15.01,15.09,15.09,15.09,15.09,0.08,0.533,33.0,249.0,14.86,14.94,14.94,14.94,14.94,0.989879,75.4545,??,2016-12-27 10:24:32,0
338844,-490221,000002.SZ,19910212,CNY,15.09,15.07,15.07,15.07,15.07,-0.02,-0.1325,236.0,1778.0,14.94,14.92,14.92,14.92,14.92,0.989879,75.339,??,2016-12-27 10:24:32,0
338845,-490222,000002.SZ,19910213,CNY,15.07,15.25,15.25,15.25,15.25,0.18,1.1944,33.0,252.0,14.92,15.1,15.1,15.1,15.1,0.989879,76.3636,??,2016-12-27 10:24:32,0
338846,-490223,000002.SZ,19910222,CNY,15.25,15.33,15.33,15.33,15.33,0.08,0.5246,116.0,889.0,15.1,15.17,15.17,15.17,15.17,0.989879,76.6379,??,2016-12-27 10:24:32,0
338847,-490225,000002.SZ,19910225,CNY,15.41,15.33,15.33,15.33,15.33,-0.08,-0.5191,410.0,3143.0,15.17,15.1,15.1,15.1,15.1,0.98474,76.6585,??,2016-12-27 10:24:32,0
338848,-490226,000002.SZ,19910226,CNY,15.33,15.25,15.25,15.25,15.25,-0.08,-0.5219,100.0,762.0,15.1,15.02,15.02,15.02,15.02,0.98474,76.2,??,2016-12-27 10:24:32,0
338849,-490227,000002.SZ,19910227,CNY,15.25,15.17,15.17,15.17,15.17,-0.08,-0.5246,258.0,1957.0,15.02,14.94,14.94,14.94,14.94,0.98474,75.8527,??,2016-12-27 10:24:32,0
338850,-490228,000002.SZ,19910228,CNY,15.17,15.09,15.09,15.09,15.09,-0.08,-0.5274,46.0,347.0,14.94,14.86,14.86,14.86,14.86,0.98474,75.4348,??,2016-12-27 10:24:32,0
338851,-490229,000002.SZ,19910301,CNY,15.09,15.01,15.01,15.01,15.01,-0.08,-0.5302,28.0,210.0,14.86,14.78,14.78,14.78,14.78,0.98474,75.0,??,2016-12-27 10:24:32,0
