,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
1012185,{000F7995-5EE1-4428-81A6-BF72D1C93298},300382.SZ,20161026,CNY,46.08,45.85,50.69,45.85,50.61,4.53,9.8307,41089.38,201502.7552,104.43,103.91,114.88,103.91,114.7,2.266308,49.0401,??,2016-12-27 13:29:50,0
1019951,{005B0D5D-66BF-45CE-9D3D-1B90818CC8B2},300382.SZ,20140422,CNY,55.22,52.9,53.63,51.6,52.36,-2.86,-5.1793,16417.96,86429.3421,55.22,52.9,53.63,51.6,52.36,1.0,52.6432,??,2016-12-27 12:15:07,0
1024789,{0089C0B1-5504-47EC-8793-6A2C4FC2FC68},300382.SZ,20151124,CNY,44.25,44.47,46.8,44.01,46.58,2.33,5.2655,26214.24,119605.1931,98.99,99.48,104.69,98.45,104.2,2.237028,45.626,??,2016-12-27 12:54:25,0
1032159,{00CF76EA-FFDF-48DE-B117-6FE18F804A8F},300382.SZ,20160622,CNY,35.5,35.11,36.49,34.73,36.49,0.99,2.7887,18777.32,66965.2607,80.45,79.57,82.7,78.71,82.7,2.266308,35.6628,??,2016-12-27 13:15:23,0
1034434,{00DB937D-8659-4094-A33D-46A9067D9246},300382.SZ,20141014,CNY,68.97,66.81,67.88,65.7,66.03,-2.94,-4.2627,21850.17,146251.2646,69.54,67.36,68.44,66.25,66.58,1.0083,66.9337,??,2016-12-27 12:22:53,0
1037597,{00F9C4B1-6674-4871-96E2-65A9B47D87EF},300382.SZ,20140723,CNY,59.99,60.1,60.3,57.38,59.77,-0.22,-0.3667,11396.08,66724.8474,59.99,60.1,60.3,57.38,59.77,1.0,58.5507,??,2016-12-27 12:19:23,0
1046902,{015314D8-D0CD-419E-A9B6-3A997AEA2BB5},300382.SZ,20140403,CNY,51.1,50.89,51.95,50.55,51.39,0.29,0.5675,9183.49,47121.2509,51.1,50.89,51.95,50.55,51.39,1.0,51.3108,??,2016-12-27 12:14:50,0
1047455,{01585009-1080-41A4-B475-3180389FF28E},300382.SZ,20150716,CNY,43.29,40.18,47.62,40.0,47.62,4.33,10.0023,32285.06,147681.0822,96.84,89.88,106.53,89.48,106.53,2.237028,45.7429,??,2016-12-27 12:43:51,0
1053755,{0192D46B-EB1B-450D-8F99-78F3CCFB8868},300382.SZ,20150707,CNY,40.1,36.09,36.09,36.09,36.09,-4.01,-10.0,890.0,3212.01,89.7,80.73,80.73,80.73,80.73,2.237028,36.09,??,2016-12-27 12:43:15,0
1075469,{0260FAF7-9491-4324-A981-D23C094D6C25},300382.SZ,20150923,CNY,29.94,29.3,31.2,29.04,30.8,0.86,2.8724,15404.94,46644.051,66.98,65.54,69.8,64.96,68.9,2.237028,30.2786,??,2016-12-27 12:49:22,0
1083800,{02AF81F4-31F2-45D0-9480-05ADC84D0B65},300382.SZ,20140507,CNY,58.06,57.99,58.75,56.2,57.18,-0.88,-1.5157,9413.64,53923.6261,58.06,57.99,58.75,56.2,57.18,1.0,57.2824,??,2016-12-27 12:15:54,0
1101995,{035B1A5B-11C0-44F7-B935-364F18F97097},300382.SZ,20151030,CNY,38.65,38.61,38.96,37.5,37.91,-0.74,-1.9146,14006.57,53537.1656,86.46,86.37,87.15,83.89,84.81,2.237028,38.2229,??,2016-12-27 12:51:58,0
1110414,{03A06AED-945F-4911-8E6D-C38118DFAAA0},300382.SZ,20150807,CNY,43.05,43.1,45.5,42.15,44.01,0.96,2.23,16546.63,72774.5306,96.3,96.42,101.78,94.29,98.45,2.237028,43.9815,??,2016-12-27 12:45:47,0
1126785,{04312BD3-FF0C-47F7-8597-9CA2CE253A2D},300382.SZ,20140820,CNY,62.0,62.1,63.0,61.7,62.73,0.73,1.1774,9876.97,61643.9025,62.51,62.62,63.52,62.21,63.25,1.0083,62.4118,??,2016-12-27 12:20:49,0
1134478,{0479ED0B-CE0A-4F02-AB15-34A65D604EB0},300382.SZ,20160706,CNY,37.87,38.05,38.37,37.7,38.35,0.48,1.2675,16394.9,62460.0219,85.83,86.23,86.96,85.44,86.91,2.266308,38.0972,??,2016-12-27 13:17:24,0
1139870,{04AC9337-EB69-4B45-87BF-9E2A835A4AF2},300382.SZ,20141210,CNY,64.72,64.78,67.9,64.72,65.69,0.97,1.4988,9893.51,65258.5534,65.26,65.32,68.46,65.26,66.24,1.0083,65.961,??,2016-12-27 12:26:14,0
1141159,{04B9554A-509D-4E58-8C2F-BF6C1891C100},300382.SZ,20160420,CNY,35.37,35.15,35.64,32.65,35.4,0.03,0.0848,26373.6,90147.7003,79.12,78.63,79.73,73.04,79.19,2.237028,34.181,??,2016-12-27 13:08:32,0
1145575,{04E2DD6F-9A56-4645-BAEF-22EB448DE712},300382.SZ,20160105,CNY,42.71,38.82,41.49,38.71,40.02,-2.69,-6.2983,21142.59,85056.057,95.54,86.84,92.81,86.6,89.53,2.237028,40.2297,??,2016-12-27 12:58:28,0
1151933,{051FB499-7820-4212-85B0-9D45F25C15B1},300382.SZ,20140618,CNY,57.8,57.7,57.99,56.3,56.35,-1.45,-2.5087,5287.99,30226.1808,57.8,57.7,57.99,56.3,56.35,1.0,57.1601,??,2016-12-27 12:17:56,0
1160003,{056C0663-6FC4-46A4-AB39-73235580DAC6},300382.SZ,20140210,CNY,53.9,53.9,59.29,53.21,59.29,5.39,10.0,37874.61,215310.3395,53.9,53.9,59.29,53.21,59.29,1.0,56.8482,??,2016-12-27 12:11:45,0
1185931,{0657BC1D-E3F6-402F-A0DC-7F8B7B358F46},300382.SZ,20160415,CNY,35.88,35.63,36.36,35.63,35.85,-0.03,-0.0836,17395.62,62510.5444,80.26,79.71,81.34,79.71,80.2,2.237028,35.9346,??,2016-12-27 13:07:45,0
1206652,{0700F61E-ED04-11E6-A728-6C0B84A6895D},300382.SZ,20170207,CNY,43.88,43.93,43.94,42.8,43.04,-0.84,-1.9143,7802.92,33708.502,99.45,99.56,99.58,97.0,97.54,2.266308,43.1999,??,2017-02-07 15:12:26,0
1213667,{07410B4E-8D42-45C3-BE5F-ED55D1707F7D},300382.SZ,20150116,CNY,57.76,57.8,59.02,57.71,58.83,1.07,1.8525,2951.8,17287.5667,58.24,58.28,59.51,58.19,59.32,1.0083,58.5662,??,2016-12-27 12:33:26,0
1218856,{077167B2-86FF-4F68-A32E-F74417C1C95C},300382.SZ,20151029,CNY,38.75,40.0,40.0,38.25,38.65,-0.1,-0.2581,12110.68,47087.0272,86.68,89.48,89.48,85.57,86.46,2.237028,38.8806,??,2016-12-27 12:52:01,0
1247224,{08759342-B1AE-4830-B3A5-C1A8935904FB},300382.SZ,20160701,CNY,37.58,37.58,37.87,37.1,37.3,-0.28,-0.7451,8532.62,31931.2635,85.17,85.17,85.83,84.08,84.53,2.266308,37.4226,??,2016-12-27 13:16:28,0
1247452,{08779654-77A4-4FDA-8FDC-ABA483B715FE},300382.SZ,20160711,CNY,38.8,38.3,38.8,36.83,36.94,-1.86,-4.7938,16806.55,63486.6486,87.93,86.8,87.93,83.47,83.72,2.266308,37.7749,??,2016-12-27 13:16:57,0
1253037,{08ABEB10-1D05-4F06-A697-24E4C91D865F},300382.SZ,20150128,CNY,62.62,62.3,63.75,62.02,63.61,0.99,1.581,4459.72,28194.6729,63.14,62.82,64.28,62.53,64.14,1.0083,63.2207,??,2016-12-27 12:34:09,0
1285225,{09D3AEA5-A339-4711-BDAB-ECF1E1C89FBE},300382.SZ,20150819,CNY,41.79,40.7,44.0,38.08,43.74,1.95,4.6662,15289.49,63218.1432,93.49,91.05,98.43,85.19,97.85,2.237028,41.3475,??,2016-12-27 12:46:59,0
1291106,{0A0BA61C-CCC2-47D3-94AD-2AA45A5766F4},300382.SZ,20140730,CNY,61.12,60.93,60.93,59.78,60.39,-0.73,-1.1944,8348.67,50223.9989,61.63,61.44,61.44,60.28,60.89,1.0083,60.1581,??,2016-12-27 12:19:59,0
1311012,{0AC9B8C0-1104-432E-A2DD-E84D9BABD6DA},300382.SZ,20140519,CNY,52.64,52.15,53.14,52.11,52.81,0.17,0.3229,2061.48,10840.0625,52.64,52.15,53.14,52.11,52.81,1.0,52.5839,??,2016-12-27 12:16:27,0
1349478,{0C277A7E-09CB-4EB3-B1D5-E5D5AF639DE8},300382.SZ,20150803,CNY,39.54,38.75,38.75,35.59,35.6,-3.94,-9.9646,11367.51,41714.2452,88.45,86.68,86.68,79.62,79.64,2.237028,36.696,??,2016-12-27 12:44:57,0
1350674,{0C338446-28BA-4104-BF49-66A1C2425531},300382.SZ,20160226,CNY,30.84,30.92,31.99,29.49,30.01,-0.83,-2.6913,11821.35,36051.3599,68.99,69.17,71.56,65.97,67.13,2.237028,30.4968,??,2016-12-27 13:02:51,0
1366192,{0CC5992E-7309-4E6B-95EA-969C0BC0C21A},300382.SZ,20150929,CNY,30.24,29.51,30.39,29.01,29.5,-0.74,-2.4471,9231.84,27441.5341,67.65,66.01,67.98,64.9,65.99,2.237028,29.7249,??,2016-12-27 12:49:38,0
1371640,{0CF8B0A7-AEFF-47B5-BAA2-E6D4537FD4DE},300382.SZ,20150513,CNY,123.9,119.8,123.18,117.02,118.0,-5.9,-4.7619,11255.9,135836.2139,124.93,120.79,124.2,117.99,118.98,1.0083,120.68,??,2016-12-27 12:39:34,0
1373592,{0D0B3A01-3B4E-4EA9-BB02-AAEDD58A2646},300382.SZ,20160329,CNY,34.02,34.4,35.17,33.38,34.44,0.42,1.2346,22529.74,77163.1517,76.1,76.95,78.68,74.67,77.04,2.237028,34.2495,??,2016-12-27 13:06:10,0
1378267,{0D37AA0D-5936-45FB-B0C3-2B93F04F2184},300382.SZ,20161021,CNY,44.52,44.2,44.76,43.15,44.04,-0.48,-1.0782,9890.93,43543.7342,100.9,100.17,101.44,97.79,99.81,2.266308,44.0239,??,2016-12-27 13:29:18,0
1380122,{0D45D93D-8159-46C1-A006-012DA802C147},300382.SZ,20150722,CNY,53.58,52.6,55.5,52.58,54.0,0.42,0.7839,14468.76,78165.3411,119.86,117.67,124.16,117.62,120.8,2.237028,54.0235,??,2016-12-27 12:44:44,0
1383931,{0D6A2994-D255-49F9-A78A-52BE16234B01},300382.SZ,20141024,CNY,71.75,71.2,73.4,69.6,70.04,-1.71,-2.3833,13266.89,94653.0,72.35,71.79,74.01,70.18,70.62,1.0083,71.3453,??,2016-12-27 12:23:30,0
1392561,{0DB244F7-9F33-4206-BB38-BDF9CDBBAC1A},300382.SZ,20160823,CNY,39.39,39.2,39.95,39.01,39.57,0.18,0.457,15526.94,61588.1338,89.27,88.84,90.54,88.41,89.68,2.266308,39.6653,??,2016-12-27 13:22:40,0
1399978,{0DF71C46-594A-40B0-BC39-36F1A9C9009B},300382.SZ,20150917,CNY,28.16,28.16,29.69,27.7,28.0,-0.16,-0.5682,12891.14,36882.0012,62.99,62.99,66.42,61.97,62.64,2.237028,28.6103,??,2016-12-27 12:48:35,0
1405769,{0E2C63DC-9A04-494A-A310-542722394B87},300382.SZ,20140617,CNY,57.99,58.0,58.57,57.35,57.8,-0.19,-0.3276,5231.64,30341.1579,57.99,58.0,58.57,57.35,57.8,1.0,57.9955,??,2016-12-27 12:17:35,0
1417702,{0E9CE9E7-14D2-417F-B920-B05CC5567524},300382.SZ,20160418,CNY,35.85,35.7,35.7,34.7,35.22,-0.63,-1.7573,12108.89,42539.4846,80.2,79.86,79.86,77.62,78.79,2.237028,35.1308,??,2016-12-27 13:08:20,0
1422222,{0EC758B4-6C7D-4260-8E52-B8335A4AF05B},300382.SZ,20150810,CNY,44.01,44.19,46.16,44.19,45.75,1.74,3.9536,14515.27,65731.2068,98.45,98.85,103.26,98.85,102.34,2.237028,45.2842,??,2016-12-27 12:46:01,0
1427265,{0EDD2233-CE5F-11E6-828E-4437E6DAC6D1},300382.SZ,20161230,CNY,46.82,46.81,47.29,45.88,47.18,0.36,0.7689,8156.62,37959.315,106.11,106.09,107.17,103.98,106.92,2.266308,46.538,??,2016-12-30 15:23:32,0
1428367,{0EE5D913-C1C7-4F52-B8FE-9180CB655276},300382.SZ,20141114,CNY,71.8,71.81,72.73,66.5,67.9,-3.9,-5.4318,13527.89,93394.8075,72.4,72.41,73.33,67.05,68.46,1.0083,69.0387,??,2016-12-27 12:25:08,0
