,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
385294,-532813,000027.SZ,19930903,CNY,3.5,11.5,12.8,11.0,12.6,9.1,260.0,50351.0,61911.0,3.5,11.5,12.8,11.0,12.6,1.0,12.2959,??,2016-12-27 10:24:49,0
385295,-532814,000027.SZ,19930906,CNY,12.6,12.75,12.8,12.4,12.4,-0.2,-1.5873,22411.0,28131.0,12.6,12.75,12.8,12.4,12.4,1.0,12.5523,??,2016-12-27 10:24:49,0
385296,-532815,000027.SZ,19930907,CNY,12.4,12.3,12.4,12.2,12.2,-0.2,-1.6129,12070.0,14818.0,12.4,12.3,12.4,12.2,12.2,1.0,12.2767,??,2016-12-27 10:24:49,0
385297,-532816,000027.SZ,19930908,CNY,12.2,12.2,12.2,12.0,12.1,-0.1,-0.8197,10125.0,12230.0,12.2,12.2,12.2,12.0,12.1,1.0,12.079,??,2016-12-27 10:24:49,0
385298,-532817,000027.SZ,19930909,CNY,12.1,12.1,12.1,11.85,11.9,-0.2,-1.6529,8666.0,10390.0,12.1,12.1,12.1,11.85,11.9,1.0,11.9894,??,2016-12-27 10:24:49,0
385299,-532818,000027.SZ,19930910,CNY,11.9,11.9,11.95,11.6,11.65,-0.25,-2.1008,8744.0,10266.0,11.9,11.9,11.95,11.6,11.65,1.0,11.7406,??,2016-12-27 10:24:49,0
385300,-532819,000027.SZ,19930913,CNY,11.65,11.5,11.5,11.0,11.0,-0.65,-5.5794,8430.0,9395.0,11.65,11.5,11.5,11.0,11.0,1.0,11.1447,??,2016-12-27 10:24:49,0
385302,-532820,000027.SZ,19930914,CNY,11.0,10.85,11.3,10.6,11.05,0.05,0.4545,7901.0,8745.0,11.0,10.85,11.3,10.6,11.05,1.0,11.0682,??,2016-12-27 10:24:49,0
385303,-532821,000027.SZ,19930915,CNY,11.05,11.05,11.15,10.9,10.9,-0.15,-1.3575,5018.0,5501.0,11.05,11.05,11.15,10.9,10.9,1.0,10.9625,??,2016-12-27 10:24:49,0
385304,-532822,000027.SZ,19930916,CNY,10.9,10.8,11.0,10.5,10.65,-0.25,-2.2936,4865.0,5245.0,10.9,10.8,11.0,10.5,10.65,1.0,10.7811,??,2016-12-27 10:24:49,0
