,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
1034999,{00E1198F-3508-4D23-A0BB-7691C78D84E7},300393.SZ,20160321,CNY,43.99,43.59,44.47,43.38,44.19,0.2,0.4546,31245.96,136981.5041,44.13,43.72,44.61,43.51,44.33,1.003085,43.8397,??,2016-12-27 13:05:05,0
1057002,{01B15CD3-FC23-417C-9309-913F1A2D3053},300393.SZ,20141216,CNY,43.56,43.98,44.0,42.73,43.39,-0.17,-0.3903,11762.37,50819.8193,43.56,43.98,44.0,42.73,43.39,1.0,43.2054,??,2016-12-27 12:26:47,0
1059879,{01CC2D0B-D1CA-4E72-AD84-A7F4C72CBD23},300393.SZ,20150414,CNY,48.6,48.53,48.53,47.02,47.28,-1.32,-2.716,22421.01,106730.9657,48.6,48.53,48.53,47.02,47.28,1.0,47.6031,??,2016-12-27 12:37:49,0
1077551,{02747426-E357-434D-BEA2-F8AC9F96E38A},300393.SZ,20160415,CNY,50.0,49.95,49.99,48.66,49.3,-0.7,-1.4,20070.84,98604.855,50.15,50.1,50.14,48.81,49.45,1.003085,49.1284,??,2016-12-27 13:07:46,0
1085000,{02BB28F0-3317-44D7-9B8D-92BDF5FE51A1},300393.SZ,20150703,CNY,52.56,52.0,55.9,47.3,49.25,-3.31,-6.2976,21902.06,110089.7846,52.72,52.16,56.07,47.45,49.4,1.003085,50.2646,??,2016-12-27 12:43:25,0
1102398,{035F3947-DA85-492E-AA75-5064300F7C4F},300393.SZ,20161212,CNY,49.36,48.9,50.18,47.4,48.0,-1.36,-2.7553,17340.01,85126.385,74.77,74.07,76.01,71.8,72.71,1.514815,49.0925,??,2016-12-12 15:23:48,0
1161228,{0577ACB6-104B-4465-849A-3078D0923DFB},300393.SZ,20160425,CNY,44.71,44.71,44.71,43.51,44.26,-0.45,-1.0065,10814.84,47630.0047,44.85,44.85,44.85,43.64,44.4,1.003085,44.0413,??,2016-12-27 13:09:07,0
1167883,{05B66CBC-AEC8-4785-9AFC-518080181ABE},300393.SZ,20160504,CNY,48.47,48.23,48.9,48.01,48.08,-0.39,-0.8046,15366.27,74314.5314,48.62,48.38,49.05,48.16,48.23,1.003085,48.3621,??,2016-12-27 13:10:03,0
1187998,{066B2AE0-BFD8-4289-97D0-F1384D92C08D},300393.SZ,20150421,CNY,45.76,45.76,48.78,45.5,48.2,2.44,5.3322,33996.63,159561.3226,45.76,45.76,48.78,45.5,48.2,1.0,46.9345,??,2016-12-27 12:38:25,0
1189732,{067B30B1-8283-4BD5-9412-9395D723774F},300393.SZ,20151221,CNY,58.78,57.81,58.0,55.8,57.2,-1.58,-2.688,26103.35,148302.8046,58.96,57.99,58.18,55.97,57.38,1.003085,56.8137,??,2016-12-27 12:56:50,0
1194164,{06A4F355-B710-416F-A498-E98C0B9D3D5F},300393.SZ,20151201,CNY,60.61,60.25,63.2,57.02,58.8,-1.81,-2.9863,35036.65,212625.4683,60.8,60.44,63.39,57.2,58.98,1.003085,60.6866,??,2016-12-27 12:55:07,0
1202602,{06E9B355-1933-4614-B39A-1442E60B00BF},300393.SZ,20141121,CNY,46.87,46.8,48.11,46.58,47.13,0.26,0.5547,23521.36,111814.0921,46.87,46.8,48.11,46.58,47.13,1.0,47.5373,??,2016-12-27 12:25:06,0
1203185,{06EF9B0E-935C-46B5-B3FC-24F41B1862D9},300393.SZ,20160614,CNY,30.0,30.2,30.6,29.66,29.97,-0.03,-0.1,12837.26,38537.6284,45.44,45.75,46.35,44.93,45.4,1.514815,30.0201,??,2016-12-27 13:14:16,0
1206663,{0700F629-ED04-11E6-A728-6C0B84A6895D},300393.SZ,20170207,CNY,48.2,47.88,48.93,47.65,48.5,0.3,0.6224,5421.33,26144.955,73.01,72.53,74.12,72.18,73.47,1.514815,48.2261,??,2017-02-07 15:12:26,0
1211265,{072A56FA-5E29-44E5-B33A-3A2584133BAC},300393.SZ,20160217,CNY,41.42,41.42,41.42,41.42,41.42,0.0,0.0,0.0,0.0,41.55,41.55,41.55,41.55,41.55,1.003085,41.42,??,2016-12-27 13:01:40,0
1212849,{073972DE-214B-427D-9BE3-183A4CF3A4C5},300393.SZ,20150126,CNY,39.36,39.97,40.65,39.38,40.61,1.25,3.1758,12025.12,48388.715,39.36,39.97,40.65,39.38,40.61,1.0,40.2397,??,2016-12-27 12:34:15,0
1222119,{07906F6B-6CE0-4BE6-B8C9-E230FAE534A5},300393.SZ,20141027,CNY,42.52,42.0,42.22,40.01,40.36,-2.16,-5.08,28473.76,117261.3687,42.52,42.0,42.22,40.01,40.36,1.0,41.1823,??,2016-12-27 12:24:04,0
1229443,{07D6FDDC-25B1-47D7-B9F2-B5CD5ACBAB84},300393.SZ,20160613,CNY,32.34,31.95,32.38,30.0,30.0,-2.34,-7.2356,18647.14,58945.1386,48.99,48.4,49.05,45.44,45.44,1.514815,31.6108,??,2016-12-27 13:13:49,0
1234296,{08047133-809A-4D19-8A1E-2F7E6B89FEE0},300393.SZ,20160909,CNY,39.01,38.92,40.79,38.92,39.6,0.59,1.5124,31237.36,125163.266,59.09,58.96,61.79,58.96,59.99,1.514815,40.0685,??,2016-12-27 13:25:06,0
1240513,{08343FC2-8126-46AA-BB7D-86F528C472D1},300393.SZ,20160304,CNY,39.57,39.31,39.47,36.85,37.05,-2.52,-6.3685,7523.03,28582.6749,39.69,39.43,39.59,36.96,37.16,1.003085,37.9936,??,2016-12-27 13:03:58,0
1242148,{0843F134-2C7F-4CB4-B5DD-62AAC76FAD23},300393.SZ,20160704,CNY,35.75,35.67,36.05,35.2,35.75,0.0,0.0,26344.77,94042.6293,54.15,54.03,54.61,53.32,54.15,1.514815,35.6969,??,2016-12-27 13:16:27,0
1250896,{0897BF0C-F39F-4CC4-95D8-41EB6E96458A},300393.SZ,20151028,CNY,40.17,40.48,41.5,39.62,40.03,-0.14,-0.3485,26625.42,107771.3135,40.29,40.6,41.63,39.74,40.15,1.003085,40.4769,??,2016-12-27 12:51:34,0
1255208,{08C023C5-E1A6-4D6B-B735-F5363E8A7332},300393.SZ,20160308,CNY,38.29,38.29,38.97,36.66,38.94,0.65,1.6976,6077.55,23054.6196,38.41,38.41,39.09,36.77,39.06,1.003085,37.9341,??,2016-12-27 13:03:26,0
1260235,{08EF1E89-2414-4B4A-A883-0A8EC5B4D4D3},300393.SZ,20150410,CNY,49.29,48.5,49.86,47.69,49.13,-0.16,-0.3246,31065.87,151780.8658,49.29,48.5,49.86,47.69,49.13,1.0,48.8578,??,2016-12-27 12:37:35,0
1280880,{09A95DDD-56A2-4447-85B9-F72772060FCD},300393.SZ,20140916,CNY,26.0,28.6,28.6,28.6,28.6,2.6,10.0,159.0,454.74,26.0,28.6,28.6,28.6,28.6,1.0,28.6,??,2016-12-27 12:22:04,0
1297513,{0A48E22F-3E61-4B08-AF2C-EFC511C59BC5},300393.SZ,20161114,CNY,45.74,45.56,46.45,45.38,45.92,0.18,0.3935,13168.03,60349.596,69.29,69.01,70.36,68.74,69.56,1.514815,45.8304,??,2016-11-14 15:25:15,0
1298445,{0A51C26A-9B95-46B1-ACAB-44DDEFDC52D5},300393.SZ,20150526,CNY,62.09,62.09,65.38,62.0,65.04,2.95,4.7512,21785.11,139904.8724,62.09,62.09,65.38,62.0,65.04,1.0,64.2204,??,2016-12-27 12:40:35,0
1365614,{0CC03AA9-9FCB-4629-A05A-C6092A998291},300393.SZ,20160901,CNY,37.18,37.1,37.31,36.84,36.96,-0.22,-0.5917,11384.25,42244.6828,56.32,56.2,56.52,55.81,55.99,1.514815,37.108,??,2016-12-27 13:23:54,0
1375861,{0D20C2CF-036F-470D-A266-81D2C8E13F3F},300393.SZ,20161213,CNY,48.0,48.2,49.88,45.37,48.4,0.4,0.8333,21158.94,99979.902,72.71,73.01,75.56,68.73,73.32,1.514815,47.2518,??,2016-12-13 15:30:35,0
1389630,{0D964C08-CCC4-4968-B56A-6EA4C48E69F4},300393.SZ,20150409,CNY,46.27,46.0,50.1,45.0,49.29,3.02,6.5269,44495.98,210919.1276,46.27,46.0,50.1,45.0,49.29,1.0,47.4018,??,2016-12-27 12:37:56,0
1424104,{0ED94667-D2A0-4BC1-835C-92A74FF5C05F},300393.SZ,20141029,CNY,41.69,42.2,43.5,42.18,43.2,1.51,3.622,38096.85,163973.1547,41.69,42.2,43.5,42.18,43.2,1.0,43.0411,??,2016-12-27 12:24:00,0
1427276,{0EDD223E-CE5F-11E6-828E-4437E6DAC6D1},300393.SZ,20161230,CNY,50.7,50.9,50.9,47.77,49.3,-1.4,-2.7613,23170.99,113171.096,76.8,77.1,77.1,72.36,74.68,1.514815,48.8417,??,2016-12-30 15:23:30,0
1431159,{0F003A64-865D-4A49-B46E-A67E2C027646},300393.SZ,20160805,CNY,34.95,34.9,35.39,34.6,34.78,-0.17,-0.4864,13173.79,46275.3665,52.94,52.87,53.61,52.41,52.69,1.514815,35.1268,??,2016-12-27 13:20:15,0
1447536,{0F9A8DF8-9CA9-41C4-BC43-8D8D3CD7EBFE},300393.SZ,20150624,CNY,75.92,77.0,83.51,75.02,83.51,7.59,9.9974,40891.94,323706.1037,76.15,77.24,83.77,75.25,83.77,1.003085,79.1613,??,2016-12-27 12:42:42,0
1448577,{0FA41DF0-86D0-41CA-BFBD-D4AECCA335BA},300393.SZ,20160719,CNY,35.3,35.31,35.59,34.81,35.4,0.1,0.2833,18644.22,65546.0221,53.47,53.49,53.91,52.73,53.62,1.514815,35.1562,??,2016-12-27 13:18:18,0
1469654,{106BD7BF-50C8-41BA-996B-808573F3AF51},300393.SZ,20160525,CNY,45.1,45.5,46.0,45.3,45.55,0.45,0.9978,11092.94,50705.375,45.24,45.64,46.14,45.44,45.69,1.003085,45.7096,??,2016-12-27 13:12:40,0
1477540,{10B71FBA-39B8-4571-BB2B-F7E7A95D32AE},300393.SZ,20150715,CNY,53.4,51.0,53.4,48.06,48.06,-5.34,-10.0,28300.79,140928.5529,53.56,51.16,53.56,48.21,48.21,1.003085,49.7967,??,2016-12-27 12:43:53,0
