,OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,OPDATE,OPMODE
1013371,{001ACB91-872C-483D-B28B-AC64CD0AD9B8},600985.SH,20120918,CNY,11.85,11.85,11.85,11.85,11.85,0.0,0.0,0.0,0.0,24.71,24.71,24.71,24.71,24.71,2.085334,11.85,??,2016-12-27 11:53:18,0
1016619,{003A4CAA-382C-4003-947C-FB972C9A0423},600985.SH,20160307,CNY,9.47,9.57,9.84,9.48,9.74,0.27,2.8511,40952.81,39695.281,30.5,30.82,31.69,30.53,31.37,3.220761,9.6929,??,2016-12-27 13:03:46,0
1017515,{004385C5-1D47-49D1-82AE-85159263CE28},600985.SH,20160829,CNY,11.56,11.53,11.79,11.48,11.63,0.07,0.6055,53286.27,61973.792,37.42,37.32,38.17,37.16,37.65,3.237077,11.6303,??,2016-12-27 13:23:17,0
1018333,{004B5858-63B0-495C-8819-FA09F44E9A83},600985.SH,20130116,CNY,11.76,11.77,11.79,11.46,11.59,-0.17,-1.4456,12133.02,14103.458,24.52,24.54,24.59,23.9,24.17,2.085334,11.624,??,2016-12-27 11:57:27,0
1018938,{005111A0-4816-4350-AE1A-E72DC28B1379},600985.SH,20130403,CNY,11.15,11.18,11.48,11.0,11.18,0.03,0.2691,15289.32,17071.679,23.25,23.31,23.94,22.94,23.31,2.085334,11.1658,??,2016-12-27 11:59:54,0
1021912,{006E32D2-A200-472B-880C-8F326C877997},600985.SH,20160121,CNY,10.16,10.0,10.3,9.78,9.79,-0.37,-3.6417,48787.97,49009.438,32.72,32.21,33.17,31.5,31.53,3.220761,10.0454,??,2016-12-27 12:59:37,0
1023697,{007F398F-9AC3-405A-AB58-7AF6F90F1ECB},600985.SH,20090603,CNY,14.65,14.7,14.8,14.55,14.62,-0.03,-0.2048,28896.83,42331.732,20.61,20.68,20.82,20.47,20.57,1.406973,14.6493,??,2016-12-27 11:21:51,0
1025590,{00910FE8-C5E6-46A7-879C-65C0DEBF21D4},600985.SH,20160721,CNY,11.3,11.28,11.63,11.27,11.44,0.14,1.2389,78909.19,90309.336,36.58,36.51,37.65,36.48,37.03,3.237077,11.4447,??,2016-12-27 13:18:14,0
1027154,{00A0496C-9D9A-4C98-BEB2-2B2E026D49E3},600985.SH,20110720,CNY,14.8,14.78,14.85,14.46,14.69,-0.11,-0.7432,36424.95,53298.479,30.6,30.56,30.7,29.89,30.37,2.067372,14.6324,??,2016-12-27 11:39:46,0
1032348,{00D11409-391F-4C8C-A04A-A1B46E65F5D9},600985.SH,20160526,CNY,9.87,9.9,10.05,9.62,9.98,0.11,1.1145,29673.01,29271.901,31.95,32.05,32.53,31.14,32.31,3.237077,9.8648,XD,2016-12-27 13:12:29,0
1034385,{00DB1D9B-7A7B-40FE-B379-75742872C78A},600985.SH,20120116,CNY,12.04,12.04,12.04,12.04,12.04,0.0,0.0,0.0,0.0,24.89,24.89,24.89,24.89,24.89,2.067372,12.04,??,2016-12-27 11:45:20,0
1035390,{00E4FC2A-416B-4606-BB10-F974D214DD1B},600985.SH,20150424,CNY,21.44,21.01,21.3,20.8,21.16,-0.28,-1.306,25641.6,53884.546,45.52,44.61,45.22,44.16,44.93,2.123171,21.0145,??,2016-12-27 12:38:41,0
1037423,{00F84301-2C60-489D-9D85-CADA3D2AB037},600985.SH,20160830,CNY,11.63,11.77,12.05,11.65,11.95,0.32,2.7515,102678.94,122232.494,37.65,38.1,39.01,37.71,38.68,3.237077,11.9043,??,2016-12-27 13:23:43,0
1037800,{00FBC0E0-6FD6-475B-9918-BDD93C043F7B},600985.SH,20120608,CNY,12.34,12.36,12.66,12.36,12.62,0.28,2.269,18252.04,22916.202,25.51,25.55,26.17,25.55,26.09,2.067372,12.5554,??,2016-12-27 11:49:42,0
1037870,{00FC6A48-35A0-43B8-81FA-FFF6356EAB9B},600985.SH,20110819,CNY,13.52,13.18,13.79,13.06,13.7,0.18,1.3314,22847.75,30875.034,27.95,27.25,28.51,27.0,28.32,2.067372,13.5134,??,2016-12-27 11:40:30,0
1038284,{010072D4-F845-46AA-8CAC-8AC5C2C901C2},600985.SH,20150911,CNY,10.12,10.29,10.36,10.01,10.24,0.12,1.1858,31025.21,31735.11,32.59,33.14,33.37,32.24,32.98,3.220761,10.2288,??,2016-12-27 12:48:08,0
1040564,{0115DE71-6E0A-4A30-AC82-4EF6A4403329},600985.SH,20091102,CNY,17.71,17.17,18.1,17.04,18.01,0.3,1.694,32970.12,58292.172,25.06,24.29,25.61,24.11,25.48,1.414785,17.6803,??,2016-12-27 11:24:20,0
1041448,{011DFFFB-90B7-45E2-8207-D005BB58F8E7},600985.SH,20141008,CNY,15.37,15.37,15.59,15.16,15.37,0.0,0.0,20280.31,31064.329,32.63,32.63,33.1,32.19,32.63,2.123171,15.3175,??,2016-12-27 12:22:51,0
1042735,{012ABE4C-277E-4349-B60E-D2D60435D3F8},600985.SH,20160112,CNY,10.05,10.0,10.29,9.82,10.11,0.06,0.597,61732.53,62222.196,32.37,32.21,33.14,31.63,32.56,3.220761,10.0793,??,2016-12-27 12:59:02,0
1044458,{013BB31E-7CD6-436F-A26E-01188C30C6AC},600985.SH,20060111,CNY,5.62,5.62,5.62,5.62,5.62,0.0,0.0,0.0,0.0,5.73,5.73,5.73,5.73,5.73,1.018824,5.62,??,2016-12-27 11:01:49,0
1046063,{014B43D3-91C8-431A-BFF3-255C2C831EB3},600985.SH,20120830,CNY,11.03,11.0,11.04,10.72,10.84,-0.19,-1.7226,3878.14,4206.325,23.0,22.94,23.02,22.35,22.61,2.085334,10.8462,??,2016-12-27 11:52:51,0
1048346,{0160EC4E-C844-4EDF-83EA-2EBC8C210604},600985.SH,20090212,CNY,10.97,11.12,11.24,10.51,11.1,0.13,1.1851,27003.3,29302.779,15.43,15.65,15.81,14.79,15.62,1.406973,10.8516,??,2016-12-27 11:19:36,0
1053246,{018E33CC-4ADB-4D5B-8662-E7B22D24C042},600985.SH,20120913,CNY,11.8,11.99,12.17,11.84,11.85,0.05,0.4237,17647.89,21211.697,24.61,25.0,25.38,24.69,24.71,2.085334,12.0194,??,2016-12-27 11:53:24,0
1053913,{0194034F-159D-4764-B6C5-4EF783CE9266},600985.SH,20050913,CNY,5.56,5.56,5.82,5.51,5.81,0.25,4.4964,38441.09,21959.729,5.66,5.66,5.93,5.61,5.92,1.018824,5.7126,??,2016-12-27 11:00:13,0
1054584,{019A784D-41D4-407A-8680-8B8F2953CB5A},600985.SH,20080606,CNY,11.69,11.76,11.95,11.35,11.35,-0.34,-2.9085,20872.02,24257.523,16.27,16.37,16.64,15.8,15.8,1.392111,11.622,??,2016-12-27 11:15:13,0
1056871,{01B01C6D-3D0F-4510-A94A-EDDDD14D9AF0},600985.SH,20110610,CNY,15.02,14.95,15.1,14.75,15.09,0.07,0.466,10185.17,15217.265,25.69,25.57,25.82,25.22,25.81,1.710156,14.9406,??,2016-12-27 11:38:44,0
